,0,names-/Volumes/norman/scollin/schema/data/behav/sub102day2/2_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub103day2/3_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub104day2/4_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub105day2/5_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub106day2/6_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub107day2/7_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub108day2/8_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub109day2/9_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub110day2/10_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub111day2/11_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub112day2/12_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub113day2/13_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub114day2/14_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub115day2/15_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub117day2/17_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub118day2/18_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub119day2/19_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub122day2/22_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub123day2/23_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub124day2/24_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub125day2/25_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub126day2/26_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub127day2/27_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub128day2/28_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub129day2/29_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub130day2/30_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub131day2/31_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub132day2/32_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub133day2/33_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub134day2/34_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub135day2/35_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub136day2/36_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub137day2/37_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub138day2/38_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub139day2/39_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub140day2/40_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub141day2/41_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub142day2/42_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub143day2/43_viewing.csv,names-/Volumes/norman/scollin/schema/data/behav/sub144day2/44_viewing.csv
0,0,NB,NB,NB,SB,SB,NB,SB,NB,SA,NB,SB,SB,SB,NA,SA,NB,SA,NB,SA,NB,SB,SA,NB,NA,SA,NA,SB,NB,NA,NB,SA,NB,NB,NB,SB,NA,NA,NA,SA,NB
1,1,NB,SA,SA,NB,NB,NA,NB,NB,NB,SA,NB,NB,SA,NB,NA,SA,NA,SA,SB,SA,SA,SB,NB,SA,NA,SB,NB,SB,NA,NA,SB,SB,NB,SA,SB,NA,SB,NB,SA,NA
2,2,SA,NA,NA,NA,SB,SA,NA,SB,NB,NA,NA,NB,SB,NB,SB,NA,NB,NB,NA,SB,NA,NB,SA,SB,SA,SB,SB,SA,SA,NA,SA,SA,NA,NA,NA,SA,NA,NB,NB,SB
3,3,NA,SB,SB,SA,SB,NB,SB,NA,SB,SB,NA,NA,NB,SA,NB,SA,NB,SB,NA,NA,SB,NA,SB,NB,NB,NB,SB,NA,SA,NB,NA,NB,SA,NA,NA,SA,SA,SA,NA,NB
4,4,SB,NA,SB,SA,NA,SA,SB,NB,NA,SA,SA,SA,NA,SB,NB,NB,SA,SA,SB,SB,NA,SB,NA,NA,NB,NB,NA,NB,SB,NA,SA,NB,NA,NB,NB,SB,NB,NB,NA,NA
5,5,NA,SB,SA,NA,NB,SB,NA,SB,NB,SB,NB,SA,SB,NB,SA,NA,SB,SA,NB,NB,SA,NA,SA,NB,SB,NB,SA,SB,NB,SB,SB,SA,SA,SA,NB,SA,SB,SA,SB,NB
6,6,SA,NB,NA,NB,SA,NA,SA,SA,NA,NB,SB,SB,SA,SA,SB,NA,SA,NB,NA,SA,NB,SB,SA,SB,SB,SA,NB,SB,SB,SA,SB,SA,NA,SA,NA,SB,NB,NA,SB,SA
7,7,SA,NA,SA,SB,NA,SA,NA,SB,NA,NB,NA,SB,SA,SB,NA,SB,SB,NA,NB,NA,SA,NB,SB,NB,SB,NA,NA,NA,SB,SB,NA,SB,SB,SB,SA,SB,SA,SB,NA,NA
8,8,NA,SA,SB,NB,NA,NB,NB,NA,SB,NA,NB,SA,NB,NA,SB,NB,NB,SB,SA,NA,NB,SA,NA,NA,NA,SB,NB,NB,NA,SA,NB,NA,NB,NA,SA,NB,NB,NA,SB,SB
9,9,SB,SA,NB,SB,SA,SB,SA,NA,SB,SA,SA,NA,NA,NA,NA,SB,NA,NA,SB,NB,NA,SA,NB,SA,SA,SA,NA,SA,NB,NB,NB,NA,SA,NB,NB,NB,NA,SB,NB,SB
10,10,NB,NB,NB,NA,SA,NA,SA,SA,SA,SB,SA,NB,NB,SA,NB,SA,NA,SB,NB,SA,SB,NA,NA,SA,NA,NA,SA,NA,SA,SB,NB,SB,SB,SB,SB,NA,SB,SA,SA,SA
11,11,SB,SB,NA,SA,NB,SB,NB,SA,SA,NA,SB,NA,NA,SB,SA,SB,SB,NA,SA,SB,NB,NB,SB,SB,NB,SA,SA,SA,NB,SA,NA,NA,SB,SB,SA,NB,SA,SB,NB,SA
