northOrSouth,stimFile1a,stimFile1b,stimFile2,stimFile3,stimFile4,stimFile5,Qeggpainting1,Qeggpainting2,Qcharacter1,Qcharacter2,Qgift1,Qgift2,Qname1,Qname2,Qtheme1,Qtheme2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,South.thisRepN,South.thisTrialN,South.thisN,South.thisIndex,North.thisRepN,North.thisTrialN,North.thisN,North.thisIndex,noQtrials.thisRepN,noQtrials.thisTrialN,noQtrials.thisN,noQtrials.thisIndex,Qtrials.thisRepN,Qtrials.thisTrialN,Qtrials.thisN,Qtrials.thisIndex,text.started,text.stopped,prep_trigger.keys,prep_trigger.rt,prep_trigger.started,prep_trigger.stopped,waiting.started,waiting.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,southCueImage.started,southCueImage.stopped,northCueImage.started,northCueImage.stopped,trialNoQs.started,trialNoQs.stopped,vid1a.started,vid1a.stopped,vid1b.started,vid1b.stopped,vid2.started,vid2.stopped,vid3.started,vid3.stopped,vid4.started,vid4.stopped,vid5.started,vid5.stopped,ISI2.started,ISI2.stopped,vid1a_q.started,vid1a_q.stopped,vid1b_q.started,vid1b_q.stopped,vid2_q.started,vid2_q.stopped,l2q.started,l2q.stopped,vid3_q.started,vid3_q.stopped,l3q.started,l3q.stopped,vid4_q.started,vid4_q.stopped,vid5_q.started,vid5_q.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,ISI7.started,ISI7.stopped,nameQresp.keys,nameQresp.rt,nameQresp.started,nameQresp.stopped,nameQ1.started,nameQ1.stopped,nameQ2.started,nameQ2.stopped,eggPainting1.started,eggPainting1.stopped,eggPaintingQresp.keys,eggPaintingQresp.rt,eggPaintingQresp.started,eggPaintingQresp.stopped,eggPainting2.started,eggPainting2.stopped,character1.started,character1.stopped,character2.started,character2.stopped,Qcharacter.keys,Qcharacter.rt,Qcharacter.started,Qcharacter.stopped,themeQresp.keys,themeQresp.rt,themeQresp.started,themeQresp.stopped,themeQ1.started,themeQ1.stopped,themeQ2.started,themeQ2.stopped,gift1.started,gift1.stopped,gift2.started,gift2.stopped,giftQresp.keys,giftQresp.rt,giftQresp.started,giftQresp.stopped,northorsouth1.started,northorsouth1.stopped,northorsouth2.started,northorsouth2.stopped,northOrSouthQ.keys,northOrSouthQ.rt,northOrSouthQ.started,northOrSouthQ.stopped,key_resp_3.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.281082275992958,None,g,1.633726033003768,7.281082275992958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.931116428997484,None,equal,42.81846267900255,8.931116428997484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
south.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3a.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/painting20.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple20.png,stimsday2details/new25.png,stimsday2details/gift20.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/ct20.png,stimsday2details/t20.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,51.797260805993574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
south.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3a.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/painting20.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple20.png,stimsday2details/new25.png,stimsday2details/gift20.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/ct20.png,stimsday2details/t20.png,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
south.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3a.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/painting20.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple20.png,stimsday2details/new25.png,stimsday2details/gift20.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/ct20.png,stimsday2details/t20.png,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
south.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3a.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/painting20.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple20.png,stimsday2details/new25.png,stimsday2details/gift20.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/ct20.png,stimsday2details/t20.png,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4737377029960044,None,64.06384715699824,89.59680862000096,89.6134774319944,None,98.61335920599231,None,115.61307262799528,119.59644082198793,119.61305654299213,142.59610169799998,142.61286933098745,146.59611137899628,146.61275990799186,None,170.61248853999132,None,['1'],[4.752064942003926],114.6131812199892,119.59644082198793,None,141.61284127899853,146.59611137899628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
south.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3a.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/painting20.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple20.png,stimsday2details/new25.png,stimsday2details/gift20.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/ct20.png,stimsday2details/t20.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3270011297427118e-05,None,2,1.1185997080028756,190.27891725600057,None,190.27891725600057,None,190.27891725600057,None,192.26223235399812,None,1,0.7683322780067101,192.26223235399812,None,192.26223235399812,None,194.26227773999562,None,194.26227773999562,None,2,0.8684848670091014,194.26227773999562,None,2,1.2684818600100698,196.2620983129891,None,196.2620983129891,None,196.2620983129891,None,198.26211624698772,None,198.26211624698772,None,2,1.0020333409920568,198.26211624698772,None,200.26213082499453,None,200.26213082499453,None,2,0.8521694530063542,200.26213082499453,None,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
north.png,stims/wedding-6.1a.mp4,stims/wedding-6.1b.mp4,stims/wedding-6.2b.mp4,stims/wedding-6.3b.mp4,stims/wedding-6.4b.mp4,stims/wedding-6.5.mp4,stimsday2details/painting6.png,stimsday2details/newpainting14.png,stimsday2details/newperson26.png,stimsday2details/couple6.png,stimsday2details/new26.png,stimsday2details/gift6.png,stimsday2details/cn6.png,stimsday2details/n6.png,stimsday2details/t6.png,stimsday2details/ct6.png,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
north.png,stims/wedding-6.1a.mp4,stims/wedding-6.1b.mp4,stims/wedding-6.2b.mp4,stims/wedding-6.3b.mp4,stims/wedding-6.4b.mp4,stims/wedding-6.5.mp4,stimsday2details/painting6.png,stimsday2details/newpainting14.png,stimsday2details/newperson26.png,stimsday2details/couple6.png,stimsday2details/new26.png,stimsday2details/gift6.png,stimsday2details/cn6.png,stimsday2details/n6.png,stimsday2details/t6.png,stimsday2details/ct6.png,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,202.31211123199319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
north.png,stims/wedding-6.1a.mp4,stims/wedding-6.1b.mp4,stims/wedding-6.2b.mp4,stims/wedding-6.3b.mp4,stims/wedding-6.4b.mp4,stims/wedding-6.5.mp4,stimsday2details/painting6.png,stimsday2details/newpainting14.png,stimsday2details/newperson26.png,stimsday2details/couple6.png,stimsday2details/new26.png,stimsday2details/gift6.png,stimsday2details/cn6.png,stimsday2details/n6.png,stimsday2details/t6.png,stimsday2details/ct6.png,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2.707344747002935,None,212.06204917699506,237.36173963498732,237.378349333987,None,246.37824248899415,None,263.37802968100004,286.36102478799876,286.3777455519885,None,310.37754857599793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,1,2019_Jun_12_0911,viewing,3.1.2,60.00261503550949,
