condsFile,northOrSouth,stimFile1a,stimFile1b,stimFile2,stimFile3,stimFile4,stimFile5,QeggPainting1,Qcharacter1,Qgift1,QeggPainting2,Qcharacter2,Qgift2,Qname1,Qtheme1,Qname2,Qtheme2,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,noQtrials.thisRepN,noQtrials.thisTrialN,noQtrials.thisN,noQtrials.thisIndex,Qtrials.thisRepN,Qtrials.thisTrialN,Qtrials.thisN,Qtrials.thisIndex,text.started,text.stopped,prep_trigger.keys,prep_trigger.rt,prep_trigger.started,prep_trigger.stopped,waiting.started,waiting.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,image_2.started,image_2.stopped,trialNoQs.started,trialNoQs.stopped,vid1a.started,vid1a.stopped,vid1b.started,vid1b.stopped,vid2.started,vid2.stopped,vid3.started,vid3.stopped,vid4.started,vid4.stopped,vid5.started,vid5.stopped,ISI2.started,ISI2.stopped,vid1a_q.started,vid1a_q.stopped,vid1b_q.started,vid1b_q.stopped,vid2_q.started,vid2_q.stopped,l2q.started,l2q.stopped,vid3_q.started,vid3_q.stopped,l3q.started,l3q.stopped,vid4_q.started,vid4_q.stopped,vid5_q.started,vid5_q.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ISI7.started,ISI7.stopped,nameQresp.keys,nameQresp.started,nameQresp.stopped,nameQ1.started,nameQ1.stopped,nameQ2.started,nameQ2.stopped,eggPainting1.started,eggPainting1.stopped,eggPaintingQresp.keys,eggPaintingQresp.started,eggPaintingQresp.stopped,eggPainting2.started,eggPainting2.stopped,character1.started,character1.stopped,character2.started,character2.stopped,Qcharacter.keys,Qcharacter.started,Qcharacter.stopped,themeQresp.keys,themeQresp.started,themeQresp.stopped,themeQ1.started,themeQ1.stopped,themeQ2.started,themeQ2.stopped,gift1.started,gift1.stopped,gift2.started,gift2.stopped,giftQresp.keys,giftQresp.started,giftQresp.stopped,northorsouth1.started,northorsouth1.stopped,northOrSouthQ.keys,northOrSouthQ.started,northOrSouthQ.stopped,northorsouth2.started,northorsouth2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.997959585976787,None,g,0.30448786297347397,5.997959585976787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.314662771997973,None,equal,16.38548365503084,6.314662771997973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathB_3.csv,south.png,stims/wedding-41.1a.mp4,stims/wedding-41.1b.mp4,stims/wedding-41.2b.mp4,stims/wedding-41.3a.mp4,stims/wedding-41.4b.mp4,stims/wedding-41.5.mp4,stimsday1details/painting41.png,stimsday1details/couple41.png,stimsday1details/new21.png,stimsday1details/newpainting9.png,stimsday1details/newperson21.png,stimsday1details/gift41.png,stimsday1details/cn41.png,stimsday1details/t41.png,stimsday1details/n41.png,stimsday1details/ct41.png,0,0,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,22.731521706911735,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathB_3.csv,south.png,stims/wedding-41.1a.mp4,stims/wedding-41.1b.mp4,stims/wedding-41.2b.mp4,stims/wedding-41.3a.mp4,stims/wedding-41.4b.mp4,stims/wedding-41.5.mp4,stimsday1details/painting41.png,stimsday1details/couple41.png,stimsday1details/new21.png,stimsday1details/newpainting9.png,stimsday1details/newperson21.png,stimsday1details/gift41.png,stimsday1details/cn41.png,stimsday1details/t41.png,stimsday1details/n41.png,stimsday1details/ct41.png,0,0,0,5,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.785340875037946,None,35.14807325799484,64.86391964089125,64.8805236669723,73.86382169788703,73.88048456795514,None,90.88026705291122,94.86355519597419,94.88021456392016,117.86326103191823,117.87992454494815,121.86315093096346,121.87988087593112,None,145.87958000192884,None,['1'],[3.4021599009865895],89.8802913489053,94.86355519597419,['2'],[3.568403449957259],116.87994328700006,121.86315093096346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathB_3.csv,south.png,stims/wedding-41.1a.mp4,stims/wedding-41.1b.mp4,stims/wedding-41.2b.mp4,stims/wedding-41.3a.mp4,stims/wedding-41.4b.mp4,stims/wedding-41.5.mp4,stimsday1details/painting41.png,stimsday1details/couple41.png,stimsday1details/new21.png,stimsday1details/newpainting9.png,stimsday1details/newperson21.png,stimsday1details/gift41.png,stimsday1details/cn41.png,stimsday1details/t41.png,stimsday1details/n41.png,stimsday1details/ct41.png,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.749206032603979e-05,None,None,160.97939506394323,None,160.97939506394323,None,160.97939506394323,None,162.962626452907,None,None,162.962626452907,None,162.962626452907,None,164.96266958094202,None,164.96266958094202,None,None,164.96266958094202,None,None,166.96264152799267,None,166.96264152799267,None,166.96264152799267,None,168.96255087398458,None,168.96255087398458,None,None,168.96255087398458,None,170.96259342494886,None,None,170.96259342494886,None,170.96259342494886,None,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathA_3.csv,south.png,stims/wedding-36.1a.mp4,stims/wedding-36.1b.mp4,stims/wedding-36.2a.mp4,stims/wedding-36.3b.mp4,stims/wedding-36.4a.mp4,stims/wedding-36.5.mp4,stimsday1details/egg36.png,stimsday1details/couple36.png,stimsday1details/gift36.png,stimsday1details/newegg9.png,stimsday1details/newperson9.png,stimsday1details/new9.png,stimsday1details/n36.png,stimsday1details/t36.png,stimsday1details/cn36.png,stimsday1details/ct36.png,0,1,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,173.12923421093728,None,2.9937958649825305,None,182.62911795591936,None,212.14534276199993,221.12863209599163,221.14530020288657,238.12847336300183,238.14509042794816,261.1281256749062,261.1448207969079,None,285.1444965029368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathA_3.csv,south.png,stims/wedding-36.1a.mp4,stims/wedding-36.1b.mp4,stims/wedding-36.2a.mp4,stims/wedding-36.3b.mp4,stims/wedding-36.4a.mp4,stims/wedding-36.5.mp4,stimsday1details/egg36.png,stimsday1details/couple36.png,stimsday1details/gift36.png,stimsday1details/newegg9.png,stimsday1details/newperson9.png,stimsday1details/new9.png,stimsday1details/n36.png,stimsday1details/t36.png,stimsday1details/cn36.png,stimsday1details/ct36.png,0,1,1,2,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathA_3.csv,south.png,stims/wedding-36.1a.mp4,stims/wedding-36.1b.mp4,stims/wedding-36.2a.mp4,stims/wedding-36.3b.mp4,stims/wedding-36.4a.mp4,stims/wedding-36.5.mp4,stimsday1details/egg36.png,stimsday1details/couple36.png,stimsday1details/gift36.png,stimsday1details/newegg9.png,stimsday1details/newperson9.png,stimsday1details/new9.png,stimsday1details/n36.png,stimsday1details/t36.png,stimsday1details/cn36.png,stimsday1details/ct36.png,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.780195791274309e-05,None,None,303.0276653839974,None,303.0276653839974,None,303.0276653839974,None,305.0109230639646,None,None,305.0109230639646,None,305.0109230639646,None,307.01088919094764,None,307.01088919094764,None,None,307.01088919094764,None,None,309.0108023619978,None,309.0108023619978,None,309.0108023619978,None,311.0107626199024,None,311.0107626199024,None,None,311.0107626199024,None,313.01081265695393,None,None,313.01081265695393,None,313.01081265695393,None,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathA_2.csv,south.png,stims/wedding-25.1a.mp4,stims/wedding-25.1b.mp4,stims/wedding-25.2a.mp4,stims/wedding-25.3b.mp4,stims/wedding-25.4a.mp4,stims/wedding-25.5.mp4,stimsday1details/egg25.png,stimsday1details/couple25.png,stimsday1details/gift25.png,stimsday1details/newegg8.png,stimsday1details/newperson8.png,stimsday1details/new8.png,stimsday1details/cn25.png,stimsday1details/ct25.png,stimsday1details/n25.png,stimsday1details/t25.png,0,2,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,315.2107776029734,None,2.9602963549550623,None,324.6607260479359,354.2102881988976,354.22689944994636,None,363.2269912218908,None,380.2266327010002,403.20961757493205,403.2263473039493,427.2093754389789,427.22606487199664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
videoBlock_schemaS_pathA_2.csv,south.png,stims/wedding-25.1a.mp4,stims/wedding-25.1b.mp4,stims/wedding-25.2a.mp4,stims/wedding-25.3b.mp4,stims/wedding-25.4a.mp4,stims/wedding-25.5.mp4,stimsday1details/egg25.png,stimsday1details/couple25.png,stimsday1details/gift25.png,stimsday1details/newegg8.png,stimsday1details/newperson8.png,stimsday1details/new8.png,stimsday1details/cn25.png,stimsday1details/ct25.png,stimsday1details/n25.png,stimsday1details/t25.png,0,2,2,1,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,21,2019_Oct_08_1620,Block3,3.1.2,59.98900928732053,
