#details correct:,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s17,s18,s19,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44
1,0,0,27,14,23,22,45,30,7,33,3,16,37,87,18,12,21,0,4,25,28,53,12,0,45,11,11,2,21,5,29,5,23,6,4,12,21,23,49,8
2,10,5,38,5,0,34,29,24,31,20,33,28,28,64,22,13,23,6,28,26,11,30,13,18,9,10,0,12,15,22,6,17,26,18,10,18,14,11,81,0
6,40,57,19,12,21,12,37,13,7,21,16,0,22,66,41,13,17,4,35,40,33,33,0,38,16,15,13,15,26,21,0,22,43,12,7,17,15,16,19,18
17,0,8,47,3,10,41,26,9,24,0,0,40,0,33,61,14,21,10,10,12,16,30,12,10,20,11,11,2,19,16,19,19,0,23,7,15,10,13,60,17
19,11,86,34,19,26,24,38,19,0,0,16,0,30,68,30,13,28,9,27,20,0,45,8,27,16,3,11,2,13,24,7,29,52,27,3,11,20,16,63,13
20,0,97,40,10,8,49,28,17,36,3,14,9,0,17,43,10,27,13,8,51,0,51,0,18,33,9,0,8,26,18,47,17,0,34,9,11,17,28,104,24
22,14,60,60,5,0,46,19,18,52,34,8,33,38,48,33,12,15,9,8,32,19,43,9,40,47,14,4,8,10,26,27,4,9,15,14,17,27,22,79,34
23,12,8,23,17,0,46,29,14,31,20,0,0,12,76,0,4,27,17,49,17,0,23,0,10,0,10,0,8,28,26,0,13,33,3,25,20,9,21,22,21
28,22,81,13,36,39,22,36,18,24,41,36,33,18,56,51,7,9,24,31,25,11,36,0,32,12,18,4,8,16,31,35,5,21,24,3,20,32,17,69,15
29,5,70,20,22,31,49,19,24,23,19,22,38,4,25,3,3,19,5,19,31,21,35,6,35,11,13,0,5,7,21,33,13,18,11,5,15,36,10,47,5
34,3,53,35,15,37,46,20,12,15,8,0,0,7,29,33,6,16,18,9,42,6,38,0,0,19,9,17,15,18,27,15,19,36,30,10,13,27,17,84,15
38,0,76,39,22,0,18,42,17,34,32,25,5,0,52,35,15,34,0,4,23,0,17,0,33,28,11,3,13,8,12,36,13,35,15,3,19,0,15,64,6
