#details correct:,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s17,s18,s19,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44
1,36,56,45,74,50,39,48,33,82,70,40,40,53,148,69,28,63,27,20,143,65,67,27,44,84,31,48,32,52,58,106,66,62,36,36,41,44,52,127,44
2,54,78,76,54,20,52,36,27,54,53,90,53,67,240,81,28,41,25,66,143,39,44,24,46,56,49,32,30,101,76,93,37,54,32,27,41,37,37,139,41
6,64,69,79,57,45,32,46,24,46,42,40,20,42,246,76,28,56,24,69,143,40,43,34,66,60,32,30,39,61,55,89,53,78,28,23,28,31,35,106,43
17,25,65,73,47,37,52,43,17,34,23,50,61,28,103,91,33,41,38,26,134,63,58,34,50,51,49,42,22,51,33,73,48,96,30,43,40,33,31,104,34
19,47,90,67,54,49,32,48,24,45,24,29,31,53,126,102,27,60,48,43,164,36,55,30,50,43,58,36,18,64,82,96,55,132,43,32,35,38,44,135,35
20,48,112,49,66,43,54,34,25,50,27,44,33,31,115,76,24,47,37,48,73,35,59,83,62,65,40,24,22,65,49,102,69,143,49,70,25,58,53,126,53
22,57,86,90,67,54,56,36,22,74,54,58,45,68,251,98,27,39,28,26,109,30,65,19,91,76,49,21,25,60,89,91,39,51,32,53,37,54,40,139,58
23,62,66,49,47,26,54,40,16,53,47,23,23,30,156,61,16,52,36,67,141,42,47,30,47,41,23,18,25,60,66,68,29,77,19,47,50,32,40,104,38
28,63,108,34,67,52,32,50,23,50,73,97,41,49,172,86,19,46,37,64,96,51,46,23,57,49,40,26,22,95,55,105,47,44,39,27,44,48,33,143,30
29,29,86,60,55,42,60,27,31,44,57,53,62,36,108,58,21,51,31,44,126,29,50,59,60,49,61,27,19,55,58,127,57,90,31,29,45,54,40,143,53
34,40,95,98,53,44,67,31,18,51,35,47,28,41,120,70,21,48,34,40,103,39,49,24,33,63,48,38,28,69,67,93,59,90,40,37,33,72,42,122,44
38,28,106,105,35,39,26,51,22,44,43,57,37,54,155,60,24,51,19,32,86,28,37,28,78,65,44,37,28,48,66,106,29,91,30,25,28,27,55,120,26
