#schema:,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s17,s18,s19,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44
1,0,0,-1,1,0,-1,0,1,0,0,1,1,0,1,1,-1,0,0,1,-1,0,1,0,0,0,0,0,1,-1,1,-1,-1,0,1,-1,0,0,-1,1,0
2,0,-1,1,1,0,1,0,-1,1,1,0,1,1,0,1,-1,0,0,1,-1,0,-1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,-1,1,0
6,0,-1,-1,1,0,1,-1,-1,1,1,0,0,0,0,1,-1,0,1,0,0,0,1,0,0,0,0,0,-1,1,1,0,-1,-1,-1,-1,0,0,-1,1,0
17,0,0,0,1,0,-1,-1,-1,1,0,0,1,0,0,1,-1,0,1,0,0,0,1,0,0,0,0,-1,1,-1,0,0,-1,0,-1,1,0,0,-1,1,0
19,0,1,-1,1,0,1,0,1,0,0,0,0,0,-1,1,1,0,0,-1,1,0,1,0,0,-1,0,0,1,1,1,0,1,-1,0,1,0,0,1,-1,0
20,0,-1,-1,1,0,1,0,1,1,0,1,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,0,1,1,0,1,-1,0,0,-1,0,0,1,1,1
22,0,0,1,1,0,1,0,1,1,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,1,0,-1,-1,0,0,0,1,1
23,0,0,-1,-1,0,1,0,-1,0,-1,0,0,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,1,1,-1,0,1,0,-1,0,0,0,1,1,1
28,0,-1,-1,1,0,-1,0,-1,0,1,1,1,0,0,1,0,0,0,1,-1,0,1,0,0,0,0,0,1,1,-1,0,-1,0,-1,1,0,0,0,1,1
29,0,1,0,-1,0,1,0,-1,0,1,1,1,1,0,1,-1,0,1,1,0,0,1,0,0,0,0,0,1,1,-1,0,1,-1,-1,0,0,0,1,-1,1
34,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,1,-1,0,-1,0,-1,0,-1,0,0,1,0,0,1,1,-1,0,1,0,-1,0,0,0,-1,1,0
38,0,0,1,1,0,0,0,-1,1,0,-1,1,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,1,-1,1,1,1,-1,0,-1,0,0,1,1,1
