,Correct,Opposite,Other
2,75.0,25.0,0.0
3,82.5,17.5,0.0
4,100.0,0.0,0.0
5,15.0,85.0,0.0
6,100.0,0.0,0.0
7,100.0,0.0,0.0
8,100.0,0.0,0.0
9,49.87866433702193,50.12133566297806,0.0
10,100.0,0.0,0.0
11,100.0,0.0,0.0
12,97.5,2.5,0.0
13,100.0,0.0,0.0
14,100.0,0.0,0.0
15,100.0,0.0,0.0
17,100.0,0.0,0.0
18,75.0,0.0,25.0
19,30.0,27.5,42.5
22,74.75247524752476,25.0,0.2475247524752433
23,75.0,0.0,25.0
24,44.28683783165283,48.00093261205819,7.712229556288975
25,100.0,0.0,0.0
26,99.75247524752476,0.0,0.2475247524752433
27,0.0,0.0,100.0
28,99.75247524752476,0.0,0.2475247524752433
29,50.88235294117647,31.127450980392155,17.99019607843138
30,29.083333333333332,20.75,50.16666666666667
31,100.0,0.0,0.0
32,100.0,0.0,0.0
33,50.0,50.0,0.0
34,50.25,49.75,0.0
35,100.0,0.0,0.0
36,47.5,52.5,0.0
37,100.0,0.0,0.0
38,98.7909367859863,0.0,1.209063214013696
39,50.0,37.5,12.5
40,8.75,40.0,51.25
41,31.36111111111111,35.166666666666664,33.47222222222223
42,35.0,52.5,12.5
43,100.0,0.0,0.0
44,75.0,0.0,25.0
