,Correct,Opposite,Other,#withinSchemaConfusion,#acrossSchemaConfusion,#totalConfusions,#withinSchema_RandomChangeSimulation,#acrossSchema_RandomChangeSimulation,#correctDetailsRecalled,Diff_withinVSacrossSchemaConfusion
2,87.5,12.5,0,1,7,8,3.636363636,4.363636364,5,-6
3,91.25,8.75,0,3,1,4,1.818181818,2.181818182,37,2
4,87.5,12.5,0,1,3,4,1.818181818,2.181818182,13,-2
5,48.125,51.875,0,0,1,1,0.454545455,0.545454545,2,-1
6,87.5,12.5,0,3,3,6,2.727272727,3.272727273,14,0
7,100,0,0,0,0,0,0,0,43,0
8,100,0,0,7,1,8,3.636363636,4.363636364,17,6
9,50.25246348,49.74753652,0,0,7,7,3.181818182,3.818181818,13,-7
10,100,0,0,0,2,2,0.909090909,1.090909091,33,-2
11,99.63113958,0.245098039,0.123762376,3,3,6,2.727272727,3.272727273,27,0
12,98.62623762,1.25,0.123762376,9,4,13,5.909090909,7.090909091,9,5
13,100,0,0,0,0,0,0,0,19,0
14,100,0,0,3,0,3,1.363636364,1.636363636,22,3
15,100,0,0,9,4,13,5.909090909,7.090909091,44,5
17,100,0,0,2,3,5,2.272727273,2.727272727,33,-1
18,87.25490196,0,12.74509804,2,1,3,1.363636364,1.636363636,1,1
19,43.75,13.75,42.5,1,2,3,1.363636364,1.636363636,4,-1
22,69.87623762,30,0.123762376,3,1,4,1.818181818,2.181818182,4,2
23,68.75,0,31.25,8,5,13,5.909090909,7.090909091,6,3
24,41.4859674,44.58922579,13.92480681,7,8,15,6.818181818,8.181818182,18,-1
25,100,0,0,4,8,12,5.454545455,6.545454545,15,-4
26,99.87623762,0,0.123762376,1,1,2,0.909090909,1.090909091,48,0
27,25,12.5,62.5,0,0,0,0,0,3,0
28,99.87623762,0,0.123762376,1,4,5,2.272727273,2.727272727,20,-3
29,60.44117647,30.56372549,8.995098039,4,2,6,2.727272727,3.272727273,13,2
30,29.125,14.54166667,56.33333333,2,2,4,1.818181818,2.181818182,3,0
31,100,0,0,0,3,3,1.363636364,1.636363636,16,-3
32,100,0,0,0,1,1,0.454545455,0.545454545,14,-1
33,56.25,31.25,12.5,11,6,17,7.727272727,9.272727273,2,5
34,73.75,26.25,0,13,11,24,10.90909091,13.09090909,8,2
35,100,0,0,11,2,13,5.909090909,7.090909091,32,9
36,66.25,33.75,0,1,5,6,2.727272727,3.272727273,15,-4
37,100,0,0,2,15,17,7.727272727,9.272727273,16,-13
38,99.39546839,0,0.604531607,3,5,8,3.636363636,4.363636364,21,-2
39,50,43.75,6.25,0,4,4,1.818181818,2.181818182,10,-4
40,23.0625,41.25,35.6875,1,2,3,1.363636364,1.636363636,6,-1
41,31.93055556,27.58333333,40.48611111,2,5,7,3.181818182,3.818181818,19,-3
42,62.5,31.25,6.25,11,4,15,6.818181818,8.181818182,2,7
43,75,25,0,4,1,5,2.272727273,2.727272727,73,3
44,87.5,0,12.5,5,4,9,4.090909091,4.909090909,16,1
