W1,W2,W6,W17,W19,W20,W22,W23,W28,W29,W34,W38
0,1,1,0,1,0,1,1,1,1,1,0
0,1,1,1,0,1,1,1,0,1,1,1
1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,1,1,0,1,1,1,1,1,1
1,0,1,1,1,1,0,0,1,0,1,0
1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,1,1,1,0
1,1,1,1,1,1,1,1,0,0,1,0
1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,0,0,1,1,1,1,0,1,1
1,0,1,0,1,1,1,0,0,1,0,1
0,1,0,0,0,1,1,0,1,1,0,1
1,1,1,0,1,0,1,1,1,1,1,0
1,0,0,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,1,0,0,0
0,0,1,1,1,0,1,1,1,1,1,0
1,0,1,1,1,1,1,1,1,1,1,1
1,0,0,0,1,1,1,1,1,0,1,1
1,1,1,1,0,0,1,0,0,1,1,0
1,1,1,0,1,0,1,1,0,1,1,1
0,1,0,0,1,0,1,0,0,1,0,0
0,1,1,1,1,1,1,1,1,1,0,1
1,1,0,1,1,1,1,0,0,1,1,1
0,0,1,0,1,0,1,0,1,0,0,1
1,0,1,1,1,0,1,0,1,0,0,1
1,1,0,1,1,1,1,1,1,1,0,1
0,1,1,0,0,1,1,1,0,1,0,1
1,0,1,1,1,1,0,1,0,1,1,1
1,1,0,1,1,1,1,0,1,1,0,1
1,1,1,1,1,0,1,1,1,0,1,1
1,0,0,0,1,0,1,1,1,1,1,0
1,0,1,0,1,0,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,1,1,0,1,1,0,0
1,1,0,0,1,1,1,1,1,1,1,0
0,0,1,0,1,0,1,1,1,1,1,1
0,1,1,1,0,1,1,1,1,0,1,1
1,0,1,1,1,1,1,0,1,1,1,1
