leftimage,rightimage,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,leftimageLoc.started,leftimageLoc.stopped,rightimageLoc.started,rightimageLoc.stopped,answer.keys,answer.rt,answer.started,answer.stopped,Q.started,Q.stopped,ITIfixation.started,ITIfixation.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stimsday2details/wedding20.png,stimsday2details/wedding1.png,0,0,0,5,16.844505261047743,None,16.844505261047743,None,k,8.793213494005613,16.844505261047743,None,16.844505261047743,None,25.645328913000412,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding23.png,stimsday2details/wedding2.png,0,1,1,0,27.41198146494571,None,27.41198146494571,None,k,7.467949331970885,27.41198146494571,None,27.41198146494571,None,34.89428805699572,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding2.png,stimsday2details/wedding17.png,0,2,2,1,36.62790405296255,None,36.62790405296255,None,k,4.217179395956919,36.62790405296255,None,36.62790405296255,None,40.86158196500037,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding6.png,stimsday2details/wedding19.png,0,3,3,14,42.595091748051345,None,42.595091748051345,None,l,4.332478737924248,42.595091748051345,None,42.595091748051345,None,46.947823439957574,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding34.png,stimsday2details/wedding28.png,0,4,4,9,48.694221662939526,None,48.694221662939526,None,k,5.867066388949752,48.694221662939526,None,48.694221662939526,None,54.58194420102518,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding38.png,stimsday2details/wedding34.png,0,5,5,8,56.330058539053425,None,56.330058539053425,None,k,7.831096075009555,56.330058539053425,None,56.330058539053425,None,64.1781822850462,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding34.png,stimsday2details/wedding38.png,0,6,6,19,65.91129297204316,None,65.91129297204316,None,l,3.3903626470128074,65.91129297204316,None,65.91129297204316,None,69.3113606129773,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding19.png,stimsday2details/wedding6.png,0,7,7,3,71.02793621202,None,71.02793621202,None,k,6.518457522033714,71.02793621202,None,71.02793621202,None,77.56133910501376,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding17.png,stimsday2details/wedding19.png,0,8,8,2,79.27772338502109,None,79.27772338502109,None,l,6.8678905830020085,79.27772338502109,None,79.27772338502109,None,86.16033175494522,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
stimsday2details/wedding22.png,stimsday2details/wedding38.png,0,9,9,7,87.87740412005223,None,87.87740412005223,None,l,6.932891916949302,87.87740412005223,None,87.87740412005223,None,94.83048071805388,None,001,2,2019_Jun_21_1446,sequencetask,3.1.2,None,
