n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,200.43310546875,200.43310546875,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,355.14837646484375,355.14837646484375,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,810.9593505859375,810.9593505859375,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,965.22900390625,965.22900390625,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,1421.784912109375,1421.784912109375,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,1573.982666015625,1573.982666015625,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
