n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,37.08668899536133,37.08668899536133,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,506.72900390625,506.72900390625,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,657.3616333007812,657.3616333007812,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1116.942138671875,1116.942138671875,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1267.703125,1267.703125,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1729.70263671875,1729.70263671875,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
