n,trialNoQs.started_raw,trialNoQs.stopped_raw,vid1a.started_raw,vid1a.stopped_raw,vid1b.started_raw,vid1b.stopped_raw,vid2.started_raw,vid2.stopped_raw,vid3.started_raw,vid3.stopped_raw,vid4.started_raw,vid4.stopped_raw,vid5.started_raw,vid5.stopped_raw,order
1.0,,,,,,,,,,,,,,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,13.804187774658203,13.804187774658203,0.0,,216.29940795898438,216.29940795898438,0.0,235.49900817871094,235.49900817871094,0.0,235.49900817871094,235.49900817871094,0.0,,244.49972534179688,244.49972534179688,0.0,,261.4998474121094,261.4998474121094,0.0,284.50079345703125,284.50079345703125,0.0,284.50079345703125,284.50079345703125,0.0,308.4989929199219,308.4989929199219,0.0,308.4989929199219,308.4989929199219,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_raw,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,10.838593482971191,10.838593482971191,0.0,,368.08111572265625,368.08111572265625,0.0,390.2475891113281,390.2475891113281,0.0,390.2475891113281,390.2475891113281,0.0,,399.2470397949219,399.2470397949219,0.0,416.2477111816406,416.2477111816406,0.0,416.2477111816406,416.2477111816406,0.0,,439.2474365234375,439.2474365234375,0.0,,463.24627685546875,463.24627685546875,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_raw,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,13.775666236877441,13.775666236877441,0.0,,522.714111328125,522.714111328125,0.0,541.9450073242188,541.9450073242188,0.0,541.9450073242188,541.9450073242188,0.0,,550.946044921875,550.946044921875,0.0,567.9450073242188,567.9450073242188,0.0,567.9450073242188,567.9450073242188,0.0,,590.94482421875,590.94482421875,0.0,,614.9442749023438,614.9442749023438,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,12.356085777282715,12.356085777282715,0.0,,671.9696655273438,671.9696655273438,0.0,692.6116943359375,692.6116943359375,0.0,692.6116943359375,692.6116943359375,0.0,,701.6140747070312,701.6140747070312,0.0,718.6105346679688,718.6105346679688,0.0,718.6105346679688,718.6105346679688,0.0,741.6098022460938,741.6098022460938,0.0,741.6098022460938,741.6098022460938,0.0,765.6094970703125,765.6094970703125,0.0,765.6094970703125,765.6094970703125,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,10.759286880493164,10.759286880493164,0.0,,823.8597412109375,823.8597412109375,0.0,846.109375,846.109375,0.0,846.109375,846.109375,0.0,,855.111572265625,855.111572265625,0.0,,872.108154296875,872.108154296875,0.0,895.10791015625,895.10791015625,0.0,895.10791015625,895.10791015625,0.0,919.1077270507812,919.1077270507812,0.0,919.1077270507812,919.1077270507812,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,10.829275131225586,10.829275131225586,0.0,,978.23291015625,978.23291015625,0.0,1000.4114379882812,1000.4114379882812,0.0,1000.4114379882812,1000.4114379882812,0.0,,1009.40625,1009.40625,0.0,,1026.4061279296875,1026.4061279296875,0.0,1049.40625,1049.40625,0.0,1049.40625,1049.40625,0.0,1073.40576171875,1073.40576171875,0.0,1073.40576171875,1073.40576171875,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,9.51449203491211,9.51449203491211,0.0,,1128.83837890625,1128.83837890625,0.0,1152.33740234375,1152.33740234375,0.0,1152.33740234375,1152.33740234375,0.0,,1161.337646484375,1161.337646484375,0.0,,1178.33740234375,1178.33740234375,0.0,1201.338134765625,1201.338134765625,0.0,1201.338134765625,1201.338134765625,0.0,1225.3370361328125,1225.3370361328125,0.0,1225.3370361328125,1225.3370361328125,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,9.332694053649902,9.332694053649902,0.0,,1279.469970703125,1279.469970703125,0.0,1303.11962890625,1303.11962890625,0.0,1303.11962890625,1303.11962890625,0.0,,1312.1365966796875,1312.1365966796875,0.0,,1329.136474609375,1329.136474609375,0.0,1352.13623046875,1352.13623046875,0.0,1352.13623046875,1352.13623046875,0.0,,1376.135498046875,1376.135498046875,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,13.789913177490234,13.789913177490234,0.0,,1437.8226318359375,1437.8226318359375,0.0,1457.0338134765625,1457.0338134765625,0.0,1457.0338134765625,1457.0338134765625,0.0,,1466.034912109375,1466.034912109375,0.0,,1483.0345458984375,1483.0345458984375,0.0,1506.0345458984375,1506.0345458984375,0.0,1506.0345458984375,1506.0345458984375,0.0,,1530.0328369140625,1530.0328369140625,0.0,,0.0

extraInfo
session,001
participant,2
date,2019_Jun_21_1347
expName,viewing
psychopyVersion,3.1.2
frameRate,None
