1.8246 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
4.5556 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
5.2048 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1323e55828>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1325b35320>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.2049 	EXP 	window1: recordFrameIntervals = False
5.3715 	EXP 	window1: recordFrameIntervals = True
5.5553 	EXP 	window1: recordFrameIntervals = False
5.6788 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
5.6876 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
5.6941 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
5.7267 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
5.7717 	EXP 	text_2: autoDraw = True
7.2749 	DATA 	Keypress: g
7.2882 	EXP 	text_2: autoDraw = False
7.2882 	EXP 	waiting: autoDraw = True
30.6265 	DATA 	Keypress: equal
30.6405 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
30.6415 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
30.6419 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C20.png')])
30.6880 	EXP 	waiting: autoDraw = False
30.6880 	EXP 	cueImage: image = 'stimsday2details/C20.png'
30.6880 	EXP 	cueImage: autoDraw = True
30.6880 	EXP 	text: autoDraw = True
32.1226 	DATA 	Keypress: equal
33.6224 	DATA 	Keypress: equal
35.1222 	DATA 	Keypress: equal
36.6223 	DATA 	Keypress: equal
38.1260 	DATA 	Keypress: equal
39.6224 	DATA 	Keypress: equal
41.1226 	DATA 	Keypress: equal
42.6228 	DATA 	Keypress: equal
44.1223 	DATA 	Keypress: equal
45.6224 	DATA 	Keypress: equal
47.1270 	DATA 	Keypress: equal
48.6273 	DATA 	Keypress: equal
50.1268 	DATA 	Keypress: equal
51.6226 	DATA 	Keypress: equal
53.1221 	DATA 	Keypress: equal
54.6224 	DATA 	Keypress: equal
56.1227 	DATA 	Keypress: equal
57.6225 	DATA 	Keypress: equal
59.1216 	DATA 	Keypress: equal
60.6227 	DATA 	Keypress: equal
62.1225 	DATA 	Keypress: equal
63.6263 	DATA 	Keypress: equal
65.1268 	DATA 	Keypress: equal
66.6213 	DATA 	Keypress: equal
68.1228 	DATA 	Keypress: equal
69.6260 	DATA 	Keypress: equal
71.1262 	DATA 	Keypress: equal
72.6225 	DATA 	Keypress: equal
74.1260 	DATA 	Keypress: equal
75.6214 	DATA 	Keypress: equal
77.1223 	DATA 	Keypress: equal
78.6261 	DATA 	Keypress: equal
80.1212 	DATA 	Keypress: equal
81.6223 	DATA 	Keypress: equal
83.1223 	DATA 	Keypress: equal
84.6214 	DATA 	Keypress: equal
86.1223 	DATA 	Keypress: equal
87.6265 	DATA 	Keypress: equal
89.1210 	DATA 	Keypress: equal
90.6216 	DATA 	Keypress: equal
92.1220 	DATA 	Keypress: equal
93.6220 	DATA 	Keypress: equal
95.1211 	DATA 	Keypress: equal
96.6216 	DATA 	Keypress: equal
97.5382 	DATA 	Keypress: space
97.6780 	EXP 	New trial (rep=0, index=1): OrderedDict([('cue', 'stimsday2details/C38.png')])
97.7040 	EXP 	cueImage: autoDraw = False
97.7040 	EXP 	text: autoDraw = False
97.7040 	EXP 	cueImage: image = 'stimsday2details/C38.png'
97.7040 	EXP 	cueImage: autoDraw = True
97.7040 	EXP 	text: autoDraw = True
98.1221 	DATA 	Keypress: equal
99.6214 	DATA 	Keypress: equal
101.1215 	DATA 	Keypress: equal
102.6222 	DATA 	Keypress: equal
104.1218 	DATA 	Keypress: equal
105.6213 	DATA 	Keypress: equal
107.1213 	DATA 	Keypress: equal
108.6211 	DATA 	Keypress: equal
110.1216 	DATA 	Keypress: equal
111.6259 	DATA 	Keypress: equal
113.1215 	DATA 	Keypress: equal
114.6216 	DATA 	Keypress: equal
116.1263 	DATA 	Keypress: equal
117.6260 	DATA 	Keypress: equal
119.1214 	DATA 	Keypress: equal
120.6307 	DATA 	Keypress: equal
122.1298 	DATA 	Keypress: equal
123.6301 	DATA 	Keypress: equal
125.1212 	DATA 	Keypress: equal
126.6211 	DATA 	Keypress: equal
128.1221 	DATA 	Keypress: equal
129.6215 	DATA 	Keypress: equal
131.1252 	DATA 	Keypress: equal
132.2544 	DATA 	Keypress: space
132.3959 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue', 'stimsday2details/C2.png')])
132.4203 	EXP 	cueImage: autoDraw = False
132.4203 	EXP 	text: autoDraw = False
132.4203 	EXP 	cueImage: image = 'stimsday2details/C2.png'
132.4203 	EXP 	cueImage: autoDraw = True
132.4203 	EXP 	text: autoDraw = True
132.6260 	DATA 	Keypress: equal
134.1266 	DATA 	Keypress: equal
135.6210 	DATA 	Keypress: equal
137.1250 	DATA 	Keypress: equal
138.6262 	DATA 	Keypress: equal
140.1249 	DATA 	Keypress: equal
141.6251 	DATA 	Keypress: equal
143.1266 	DATA 	Keypress: equal
144.6218 	DATA 	Keypress: equal
146.1253 	DATA 	Keypress: equal
147.6257 	DATA 	Keypress: equal
149.1260 	DATA 	Keypress: equal
150.6264 	DATA 	Keypress: equal
152.1208 	DATA 	Keypress: equal
153.6105 	DATA 	Keypress: equal
155.1105 	DATA 	Keypress: equal
156.6298 	DATA 	Keypress: equal
158.1291 	DATA 	Keypress: equal
159.6251 	DATA 	Keypress: equal
161.1213 	DATA 	Keypress: equal
162.6215 	DATA 	Keypress: equal
164.1207 	DATA 	Keypress: equal
165.6096 	DATA 	Keypress: equal
167.1099 	DATA 	Keypress: equal
168.6103 	DATA 	Keypress: equal
170.1096 	DATA 	Keypress: equal
171.6100 	DATA 	Keypress: equal
173.1105 	DATA 	Keypress: equal
174.6095 	DATA 	Keypress: equal
176.1095 	DATA 	Keypress: equal
177.6256 	DATA 	Keypress: equal
179.1251 	DATA 	Keypress: equal
180.6207 	DATA 	Keypress: equal
182.1202 	DATA 	Keypress: equal
183.6112 	DATA 	Keypress: equal
185.1246 	DATA 	Keypress: equal
186.2196 	DATA 	Keypress: space
186.3566 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C23.png')])
186.3855 	EXP 	cueImage: autoDraw = False
186.3855 	EXP 	text: autoDraw = False
