n,trialNoQs.started_raw,trialNoQs.stopped_raw,vid1a.started_raw,vid1a.stopped_raw,vid1b.started_raw,vid1b.stopped_raw,vid2.started_raw,vid2.stopped_raw,vid3.started_raw,vid3.stopped_raw,vid4.started_raw,vid4.stopped_raw,vid5.started_raw,vid5.stopped_raw,order
1.0,,,,,,,,,,,,,,,0.0

extraInfo
session,001
participant,8
date,2019_Jul_30_1402
expName,viewing
psychopyVersion,3.1.2
frameRate,60.00002759044396
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,2.8941550254821777,2.8941550254821777,0.0,,204.740966796875,204.740966796875,0.0,229.84066772460938,229.84066772460938,0.0,229.85733032226562,229.85733032226562,0.0,,238.85714721679688,238.85714721679688,0.0,,255.85702514648438,255.85702514648438,0.0,278.8400573730469,278.8400573730469,0.0,278.85675048828125,278.85675048828125,0.0,,302.85638427734375,302.85638427734375,0.0,,0.0

extraInfo
session,001
participant,8
date,2019_Jul_30_1402
expName,viewing
psychopyVersion,3.1.2
frameRate,60.00002759044396
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,3.018008232116699,3.018008232116699,0.0,,349.0058898925781,349.0058898925781,0.0,373.9888610839844,373.9888610839844,0.0,373.9888610839844,373.9888610839844,0.0,,382.98883056640625,382.98883056640625,0.0,399.98858642578125,399.98858642578125,0.0,399.98858642578125,399.98858642578125,0.0,422.9883117675781,422.9883117675781,0.0,422.9883117675781,422.9883117675781,0.0,446.988037109375,446.988037109375,0.0,446.988037109375,446.988037109375,0.0,,0.0

extraInfo
session,001
participant,8
date,2019_Jul_30_1402
expName,viewing
psychopyVersion,3.1.2
frameRate,60.00002759044396
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_mean,vid1b.stopped_raw,vid1b.stopped_std,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,3.0765581130981445,3.0765581130981445,0.0,,493.05413818359375,493.05413818359375,0.0,517.9871826171875,517.9871826171875,0.0,518.0038452148438,518.0038452148438,0.0,526.987060546875,526.987060546875,0.0,527.0037231445312,527.0037231445312,0.0,,544.0034790039062,544.0034790039062,0.0,566.986572265625,566.986572265625,0.0,567.0032348632812,567.0032348632812,0.0,590.9862670898438,590.9862670898438,0.0,591.0029296875,591.0029296875,0.0,,0.0

extraInfo
session,001
participant,8
date,2019_Jul_30_1402
expName,viewing
psychopyVersion,3.1.2
frameRate,60.00002759044396
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
