leftimage,rightimage,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,leftimageLoc.started,leftimageLoc.stopped,rightimageLoc.started,rightimageLoc.stopped,answer.keys,answer.rt,answer.started,answer.stopped,Q.started,Q.stopped,ITIfixation.started,ITIfixation.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stimsday2details/wedding23.png,stimsday2details/wedding29.png,0,0,0,19,10.095298236999952,None,10.095298236999952,None,k,9.968502888999865,10.095298236999952,None,10.095298236999952,None,20.080360888000087,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding1.png,stimsday2details/wedding20.png,0,1,1,17,21.9303058280002,None,21.9303058280002,None,l,3.3667488199998843,21.9303058280002,None,21.9303058280002,None,25.313878183999805,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding29.png,stimsday2details/wedding23.png,0,2,2,8,27.032120245999977,None,27.032120245999977,None,l,6.181439247000071,27.032120245999977,None,27.032120245999977,None,33.23065147899979,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding19.png,stimsday2details/wedding2.png,0,3,3,12,35.06366512000022,None,35.06366512000022,None,l,2.064526117999776,35.06366512000022,None,35.06366512000022,None,37.147405639000226,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding28.png,stimsday2details/wedding34.png,0,4,4,14,38.9640643040002,None,38.9640643040002,None,l,9.800555175999762,38.9640643040002,None,38.9640643040002,None,48.79678425200018,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding34.png,stimsday2details/wedding28.png,0,5,5,3,50.53003216800016,None,50.53003216800016,None,k,3.515315929999815,50.53003216800016,None,50.53003216800016,None,54.06315301099994,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding6.png,stimsday2details/wedding28.png,0,6,6,15,55.82980975300006,None,55.82980975300006,None,k,12.892571048000264,55.82980975300006,None,55.82980975300006,None,68.7464269269999,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding6.png,stimsday2details/wedding20.png,0,7,7,5,70.47977300499997,None,70.47977300499997,None,l,2.3962078330000622,70.47977300499997,None,70.47977300499997,None,72.89697731500019,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding20.png,stimsday2details/wedding6.png,0,8,8,16,74.63015397800018,None,74.63015397800018,None,k,1.837686721999944,74.63015397800018,None,74.63015397800018,None,76.49658169299983,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding19.png,stimsday2details/wedding34.png,0,9,9,2,78.21844934299997,None,78.21844934299997,None,k,18.23857040499979,78.21844934299997,None,78.21844934299997,None,96.48005140900023,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding20.png,stimsday2details/wedding1.png,0,10,10,6,98.21345546600014,None,98.21345546600014,None,k,1.5239479020001454,98.21345546600014,None,98.21345546600014,None,99.76295365599981,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
stimsday2details/wedding1.png,stimsday2details/wedding29.png,0,11,11,7,101.49635756399994,None,101.49635756399994,None,k,11.32087628599993,101.49635756399994,None,101.49635756399994,None,112.84620247800012,None,001,10,2019_Aug_23_1022,sequencetask,3.1.3,59.86731033283427,
