1.8425 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
5.7860 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
6.4377 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x132369d748>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132536f278>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.4377 	EXP 	window1: recordFrameIntervals = False
6.6036 	EXP 	window1: recordFrameIntervals = True
6.7870 	EXP 	window1: recordFrameIntervals = False
6.9103 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
6.9191 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
6.9257 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
6.9576 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
7.0034 	EXP 	text_2: autoDraw = True
7.2905 	DATA 	Keypress: g
7.3035 	EXP 	text_2: autoDraw = False
7.3035 	EXP 	waiting: autoDraw = True
38.3049 	DATA 	Keypress: equal
38.3144 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
38.3169 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
38.3173 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C23.png')])
38.3698 	EXP 	waiting: autoDraw = False
38.3698 	EXP 	cueImage: image = 'stimsday2details/C23.png'
38.3698 	EXP 	cueImage: autoDraw = True
38.3698 	EXP 	text: autoDraw = True
39.8049 	DATA 	Keypress: equal
41.3048 	DATA 	Keypress: equal
42.8046 	DATA 	Keypress: equal
44.3046 	DATA 	Keypress: equal
45.8046 	DATA 	Keypress: equal
47.3047 	DATA 	Keypress: equal
48.8048 	DATA 	Keypress: equal
50.3046 	DATA 	Keypress: equal
51.8047 	DATA 	Keypress: equal
53.3048 	DATA 	Keypress: equal
54.8044 	DATA 	Keypress: equal
56.3048 	DATA 	Keypress: equal
57.8047 	DATA 	Keypress: equal
59.3047 	DATA 	Keypress: equal
60.8046 	DATA 	Keypress: equal
62.3046 	DATA 	Keypress: equal
63.8048 	DATA 	Keypress: equal
65.3046 	DATA 	Keypress: equal
66.8045 	DATA 	Keypress: equal
68.3047 	DATA 	Keypress: equal
68.6042 	DATA 	Keypress: space
68.7358 	EXP 	New trial (rep=0, index=1): OrderedDict([('cue', 'stimsday2details/C29.png')])
68.7527 	EXP 	cueImage: autoDraw = False
68.7527 	EXP 	text: autoDraw = False
68.7527 	EXP 	cueImage: image = 'stimsday2details/C29.png'
68.7527 	EXP 	cueImage: autoDraw = True
68.7527 	EXP 	text: autoDraw = True
69.8049 	DATA 	Keypress: equal
71.3045 	DATA 	Keypress: equal
72.8045 	DATA 	Keypress: equal
74.3045 	DATA 	Keypress: equal
75.8045 	DATA 	Keypress: equal
77.3042 	DATA 	Keypress: equal
78.8041 	DATA 	Keypress: equal
80.3041 	DATA 	Keypress: equal
81.8043 	DATA 	Keypress: equal
83.3044 	DATA 	Keypress: equal
84.8040 	DATA 	Keypress: equal
86.3040 	DATA 	Keypress: equal
87.8042 	DATA 	Keypress: equal
89.3043 	DATA 	Keypress: equal
90.8041 	DATA 	Keypress: equal
92.3042 	DATA 	Keypress: equal
93.8038 	DATA 	Keypress: equal
95.3040 	DATA 	Keypress: equal
96.8043 	DATA 	Keypress: equal
98.3042 	DATA 	Keypress: equal
99.8041 	DATA 	Keypress: equal
101.3038 	DATA 	Keypress: equal
102.8039 	DATA 	Keypress: equal
104.3038 	DATA 	Keypress: equal
104.5869 	DATA 	Keypress: space
104.7230 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue', 'stimsday2details/C20.png')])
104.7523 	EXP 	cueImage: autoDraw = False
104.7523 	EXP 	text: autoDraw = False
104.7523 	EXP 	cueImage: image = 'stimsday2details/C20.png'
104.7523 	EXP 	cueImage: autoDraw = True
104.7523 	EXP 	text: autoDraw = True
105.8040 	DATA 	Keypress: equal
107.3039 	DATA 	Keypress: equal
108.8040 	DATA 	Keypress: equal
110.3040 	DATA 	Keypress: equal
111.8039 	DATA 	Keypress: equal
113.3039 	DATA 	Keypress: equal
114.8037 	DATA 	Keypress: equal
116.3039 	DATA 	Keypress: equal
117.8038 	DATA 	Keypress: equal
119.3036 	DATA 	Keypress: equal
120.8036 	DATA 	Keypress: equal
122.3039 	DATA 	Keypress: equal
123.8038 	DATA 	Keypress: equal
125.3038 	DATA 	Keypress: equal
126.8039 	DATA 	Keypress: equal
128.3038 	DATA 	Keypress: equal
129.8036 	DATA 	Keypress: equal
131.3037 	DATA 	Keypress: equal
132.8035 	DATA 	Keypress: equal
134.3037 	DATA 	Keypress: equal
135.8035 	DATA 	Keypress: equal
136.1865 	DATA 	Keypress: space
136.3232 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C1.png')])
136.3519 	EXP 	cueImage: autoDraw = False
136.3519 	EXP 	text: autoDraw = False
136.3519 	EXP 	cueImage: image = 'stimsday2details/C1.png'
136.3519 	EXP 	cueImage: autoDraw = True
136.3519 	EXP 	text: autoDraw = True
137.3038 	DATA 	Keypress: equal
138.8036 	DATA 	Keypress: equal
140.3039 	DATA 	Keypress: equal
141.8035 	DATA 	Keypress: equal
143.3037 	DATA 	Keypress: equal
144.8036 	DATA 	Keypress: equal
146.3033 	DATA 	Keypress: equal
147.8034 	DATA 	Keypress: equal
149.3036 	DATA 	Keypress: equal
