leftimage,rightimage,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,leftimageLoc.started,leftimageLoc.stopped,rightimageLoc.started,rightimageLoc.stopped,answer.keys,answer.rt,answer.started,answer.stopped,Q.started,Q.stopped,ITIfixation.started,ITIfixation.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stimsday2details/wedding6.png,stimsday2details/wedding17.png,0,0,0,21,11.676191258000017,None,11.676191258000017,None,l,12.233392100999936,11.676191258000017,None,11.676191258000017,None,23.944421792999947,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding29.png,stimsday2details/wedding38.png,0,1,1,5,25.80737640899997,None,25.80737640899997,None,k,3.1194133839999267,25.80737640899997,None,25.80737640899997,None,28.943842826000036,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding19.png,stimsday2details/wedding20.png,0,2,2,2,30.79330537399983,None,30.79330537399983,None,l,4.683084845999929,30.79330537399983,None,30.79330537399983,None,35.49273233999975,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding20.png,stimsday2details/wedding19.png,0,3,3,13,37.22673626799997,None,37.22673626799997,None,k,4.0435200480001185,37.22673626799997,None,37.22673626799997,None,41.29317377000007,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding23.png,stimsday2details/wedding38.png,0,4,4,17,43.05961016599986,None,43.05961016599986,None,k,2.4049346480001077,43.05961016599986,None,43.05961016599986,None,45.49284256300007,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding1.png,stimsday2details/wedding29.png,0,5,5,4,47.27533971499997,None,47.27533971499997,None,l,2.9358979709995765,47.27533971499997,None,47.27533971499997,None,50.24254764299985,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding17.png,stimsday2details/wedding34.png,0,6,6,20,52.025739922999946,None,52.025739922999946,None,l,2.1343304060001174,52.025739922999946,None,52.025739922999946,None,54.192795066000144,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding1.png,stimsday2details/wedding20.png,0,7,7,14,55.926272084000175,None,55.926272084000175,None,l,1.8456588650001322,55.926272084000175,None,55.926272084000175,None,57.79293677099986,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding29.png,stimsday2details/wedding1.png,0,8,8,15,59.52612440999974,None,59.52612440999974,None,k,2.8685590310001317,59.52612440999974,None,59.52612440999974,None,62.425849728999765,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding34.png,stimsday2details/wedding17.png,0,9,9,9,64.17735251299973,None,64.17735251299973,None,l,2.9273117490001823,64.17735251299973,None,64.17735251299973,None,67.12596210799984,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding17.png,stimsday2details/wedding6.png,0,10,10,10,68.85924179899985,None,68.85924179899985,None,l,5.275511858999835,68.85924179899985,None,68.85924179899985,None,74.15927250999994,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding19.png,stimsday2details/wedding28.png,0,11,11,12,75.94227591599974,None,75.94227591599974,None,l,2.696784179000133,75.94227591599974,None,75.94227591599974,None,78.65916760799973,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding38.png,stimsday2details/wedding23.png,0,12,12,6,80.38024199699976,None,80.38024199699976,None,l,2.9153051959997356,80.38024199699976,None,80.38024199699976,None,83.32566973199982,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding20.png,stimsday2details/wedding1.png,0,13,13,3,85.07708885700004,None,85.07708885700004,None,k,2.3539410260000295,85.07708885700004,None,85.07708885700004,None,87.45912298899975,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding38.png,stimsday2details/wedding29.png,0,14,14,16,89.192601578,None,89.192601578,None,l,2.9072842939999646,89.192601578,None,89.192601578,None,92.1255628670001,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding2.png,stimsday2details/wedding23.png,0,15,15,18,93.90874823500008,None,93.90874823500008,None,l,6.0355595910000375,93.90874823500008,None,93.90874823500008,None,99.97517976600011,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding34.png,stimsday2details/wedding2.png,0,16,16,19,101.70952701999977,None,101.70952701999977,None,l,5.003607042000112,101.70952701999977,None,101.70952701999977,None,106.74182904300005,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding23.png,stimsday2details/wedding2.png,0,17,17,7,108.49208783899985,None,108.49208783899985,None,k,1.796906424000099,108.49208783899985,None,108.49208783899985,None,110.30904074,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding22.png,stimsday2details/wedding28.png,0,18,18,0,112.07513331200016,None,112.07513331200016,None,k,2.392141858999821,112.07513331200016,None,112.07513331200016,None,114.49193503600009,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding28.png,stimsday2details/wedding19.png,0,19,19,1,116.22552111999994,None,116.22552111999994,None,k,1.857115254999826,116.22552111999994,None,116.22552111999994,None,118.10839342500003,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding2.png,stimsday2details/wedding34.png,0,20,20,8,119.84141610200004,None,119.84141610200004,None,l,3.342024467999636,119.84141610200004,None,119.84141610200004,None,123.20844532599995,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
stimsday2details/wedding28.png,stimsday2details/wedding22.png,0,21,21,11,124.92942114800007,None,124.92942114800007,None,l,1.3368362410001282,124.92942114800007,None,124.92942114800007,None,126.29217256799984,None,001,14,2019_Sep_04_1428,sequencetask,3.1.3,60.164115071553304,
