n,trialNoQs.started_raw,trialNoQs.stopped_raw,vid1a.started_raw,vid1a.stopped_raw,vid1b.started_raw,vid1b.stopped_raw,vid2.started_raw,vid2.stopped_raw,vid3.started_raw,vid3.stopped_raw,vid4.started_raw,vid4.stopped_raw,vid5.started_raw,vid5.stopped_raw,order
1.0,,,,,,,,,,,,,,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,3.012953996658325,3.012953996658325,0.0,,188.70068359375,188.70068359375,0.0,213.6837158203125,213.6837158203125,0.0,213.70130920410156,213.70130920410156,0.0,,222.70082092285156,222.70082092285156,0.0,239.683349609375,239.683349609375,0.0,239.7002716064453,239.7002716064453,0.0,262.6841125488281,262.6841125488281,0.0,262.7008056640625,262.7008056640625,0.0,,286.70013427734375,286.70013427734375,0.0,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_raw,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,2.880218982696533,2.880218982696533,0.0,,332.24969482421875,332.24969482421875,0.0,,357.3831787109375,357.3831787109375,0.0,,366.38311767578125,366.38311767578125,0.0,,383.3829040527344,383.3829040527344,0.0,406.3814697265625,406.3814697265625,0.0,406.3814697265625,406.3814697265625,0.0,430.3822937011719,430.3822937011719,0.0,430.3822937011719,430.3822937011719,0.0,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,2.917004108428955,2.917004108428955,0.0,,476.2308349609375,476.2308349609375,0.0,501.31878662109375,501.31878662109375,0.0,501.3308410644531,501.3308410644531,0.0,,510.3301696777344,510.3301696777344,0.0,527.3141479492188,527.3141479492188,0.0,527.3306274414062,527.3306274414062,0.0,550.312744140625,550.312744140625,0.0,550.3294067382812,550.3294067382812,0.0,,574.3126831054688,574.3126831054688,0.0,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_raw,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,2.9666147232055664,2.9666147232055664,0.0,,620.6127319335938,620.6127319335938,0.0,,645.666015625,645.666015625,0.0,,654.6616821289062,654.6616821289062,0.0,671.6468505859375,671.6468505859375,0.0,671.6614990234375,671.6614990234375,0.0,694.6442260742188,694.6442260742188,0.0,694.6610717773438,694.6610717773438,0.0,,718.66552734375,718.66552734375,0.0,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,2.8153066635131836,2.8153066635131836,0.0,,764.5277099609375,764.5277099609375,0.0,789.7098388671875,789.7098388671875,0.0,789.7098388671875,789.7098388671875,0.0,,798.7097778320312,798.7097778320312,0.0,,815.71044921875,815.71044921875,0.0,838.709228515625,838.709228515625,0.0,838.709228515625,838.709228515625,0.0,,862.7099609375,862.7099609375,0.0,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,2.9102706909179688,2.9102706909179688,0.0,,908.7587280273438,908.7587280273438,0.0,933.8482055664062,933.8482055664062,0.0,933.8604736328125,933.8604736328125,0.0,,942.8580322265625,942.8580322265625,0.0,959.8585205078125,959.8585205078125,0.0,959.8585205078125,959.8585205078125,0.0,982.8572998046875,982.8572998046875,0.0,982.8572998046875,982.8572998046875,0.0,1006.8408813476562,1006.8408813476562,0.0,1006.857666015625,1006.857666015625,0.0,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_raw,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_raw,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
1.0,2.8638570308685303,2.8638570308685303,0.0,,1053.6397705078125,1053.6397705078125,0.0,1078.7567138671875,1078.7567138671875,0.0,1078.7738037109375,1078.7738037109375,0.0,,1087.7738037109375,1087.7738037109375,0.0,,1104.7738037109375,1104.7738037109375,0.0,1127.77685546875,1127.77685546875,0.0,1127.7896728515625,1127.7896728515625,0.0,,1151.789306640625,1151.789306640625,0.0,,0.0

extraInfo
session,001
participant,15
date,2019_Sep_04_1523
expName,viewing
psychopyVersion,3.1.2
frameRate,59.77390500664807
﻿n,trialNoQs.started_mean,trialNoQs.started_raw,trialNoQs.started_std,trialNoQs.stopped_raw,vid1a.started_mean,vid1a.started_raw,vid1a.started_std,vid1a.stopped_mean,vid1a.stopped_raw,vid1a.stopped_std,vid1b.started_mean,vid1b.started_raw,vid1b.started_std,vid1b.stopped_raw,vid2.started_mean,vid2.started_raw,vid2.started_std,vid2.stopped_mean,vid2.stopped_raw,vid2.stopped_std,vid3.started_mean,vid3.started_raw,vid3.started_std,vid3.stopped_mean,vid3.stopped_raw,vid3.stopped_std,vid4.started_mean,vid4.started_raw,vid4.started_std,vid4.stopped_mean,vid4.stopped_raw,vid4.stopped_std,vid5.started_mean,vid5.started_raw,vid5.started_std,vid5.stopped_raw,order
