cue,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,prep_trigger.keys,prep_trigger.rt,prep_trigger.started,prep_trigger.stopped,text_2.started,text_2.stopped,waiting.started,waiting.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,cueImage.started,cueImage.stopped,keyToMoveOn.keys,keyToMoveOn.rt,keyToMoveOn.started,keyToMoveOn.stopped,text.started,text.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,g,0.7703169480000724,8.113101177999852,None,,,,,,,,,,,,,,,,,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
,,,,,,,,,8.113101177999852,None,8.896058237000034,None,equal,18.902331086999766,8.896058237000034,None,,,,,,,,,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C17.png,0,0,0,3,,,,,,,,,,,,,27.879691576999903,None,space,38.38444644899937,27.879691576999903,None,27.879691576999903,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C34.png,0,1,1,10,,,,,,,,,,,,,66.44498197099983,None,space,33.66746520600009,66.44498197099983,None,66.44498197099983,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C22.png,0,2,2,6,,,,,,,,,,,,,100.27842267000051,None,space,28.31815888300025,100.27842267000051,None,100.27842267000051,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C2.png,0,3,3,1,,,,,,,,,,,,,128.77830468000047,None,space,25.322826213000553,128.77830468000047,None,128.77830468000047,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C29.png,0,4,4,9,,,,,,,,,,,,,154.27698297000006,None,space,31.293937868000285,154.27698297000006,None,154.27698297000006,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C20.png,0,5,5,5,,,,,,,,,,,,,185.74786485799996,None,space,37.48510388500017,185.74786485799996,None,185.74786485799996,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C23.png,0,6,6,7,,,,,,,,,,,,,223.3937766859999,None,space,35.721675132999735,223.3937766859999,None,223.3937766859999,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C1.png,0,7,7,0,,,,,,,,,,,,,259.27626597000017,None,space,26.88404810600059,259.27626597000017,None,259.27626597000017,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C19.png,0,8,8,4,,,,,,,,,,,,,286.3263010800001,None,space,47.671420173000115,286.3263010800001,None,286.3263010800001,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C28.png,0,9,9,8,,,,,,,,,,,,,334.1746309079999,None,space,37.23455568999998,334.1746309079999,None,334.1746309079999,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C6.png,0,10,10,2,,,,,,,,,,,,,371.5579882330003,None,space,24.03397259400026,371.5579882330003,None,371.5579882330003,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
stimsday2details/C38.png,0,11,11,11,,,,,,,,,,,,,395.7738508530001,None,space,19.402422090999607,395.7738508530001,None,395.7738508530001,None,001,22,2019_Oct_24_1804,recall,3.1.2,60.307439365364765,
