1.8257 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
6.8417 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
7.5139 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x132987b8d0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132b50b438>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.5140 	EXP 	window1: recordFrameIntervals = False
7.6798 	EXP 	window1: recordFrameIntervals = True
7.8627 	EXP 	window1: recordFrameIntervals = False
8.0177 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
8.0266 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
8.0335 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
8.0669 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
8.1131 	EXP 	text_2: autoDraw = True
8.8829 	DATA 	Keypress: g
8.8961 	EXP 	text_2: autoDraw = False
8.8961 	EXP 	waiting: autoDraw = True
27.7979 	DATA 	Keypress: equal
27.8075 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
27.8099 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
27.8104 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C17.png')])
27.8797 	EXP 	waiting: autoDraw = False
27.8797 	EXP 	cueImage: image = 'stimsday2details/C17.png'
27.8797 	EXP 	cueImage: autoDraw = True
27.8797 	EXP 	text: autoDraw = True
29.2972 	DATA 	Keypress: equal
30.8015 	DATA 	Keypress: equal
32.3014 	DATA 	Keypress: equal
33.8017 	DATA 	Keypress: equal
35.3006 	DATA 	Keypress: equal
36.8020 	DATA 	Keypress: equal
38.3012 	DATA 	Keypress: equal
39.8006 	DATA 	Keypress: equal
41.2973 	DATA 	Keypress: equal
42.8015 	DATA 	Keypress: equal
44.2975 	DATA 	Keypress: equal
45.8021 	DATA 	Keypress: equal
47.2971 	DATA 	Keypress: equal
48.7973 	DATA 	Keypress: equal
50.2970 	DATA 	Keypress: equal
51.7972 	DATA 	Keypress: equal
53.2974 	DATA 	Keypress: equal
54.8016 	DATA 	Keypress: equal
56.3014 	DATA 	Keypress: equal
57.8014 	DATA 	Keypress: equal
59.3014 	DATA 	Keypress: equal
60.7974 	DATA 	Keypress: equal
62.3014 	DATA 	Keypress: equal
63.7973 	DATA 	Keypress: equal
65.2964 	DATA 	Keypress: equal
66.2637 	DATA 	Keypress: space
66.4111 	EXP 	New trial (rep=0, index=1): OrderedDict([('cue', 'stimsday2details/C34.png')])
66.4450 	EXP 	cueImage: autoDraw = False
66.4450 	EXP 	text: autoDraw = False
66.4450 	EXP 	cueImage: image = 'stimsday2details/C34.png'
66.4450 	EXP 	cueImage: autoDraw = True
66.4450 	EXP 	text: autoDraw = True
66.7969 	DATA 	Keypress: equal
68.2963 	DATA 	Keypress: equal
69.7964 	DATA 	Keypress: equal
71.3005 	DATA 	Keypress: equal
72.7962 	DATA 	Keypress: equal
74.2959 	DATA 	Keypress: equal
75.7959 	DATA 	Keypress: equal
77.2958 	DATA 	Keypress: equal
78.8009 	DATA 	Keypress: equal
80.2958 	DATA 	Keypress: equal
81.7966 	DATA 	Keypress: equal
83.3007 	DATA 	Keypress: equal
84.8004 	DATA 	Keypress: equal
86.2910 	DATA 	Keypress: equal
87.7904 	DATA 	Keypress: equal
89.2891 	DATA 	Keypress: equal
90.7958 	DATA 	Keypress: equal
92.3007 	DATA 	Keypress: equal
93.7962 	DATA 	Keypress: equal
95.2958 	DATA 	Keypress: equal
96.8000 	DATA 	Keypress: equal
98.2963 	DATA 	Keypress: equal
99.7960 	DATA 	Keypress: equal
100.1120 	DATA 	Keypress: space
100.2550 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue', 'stimsday2details/C22.png')])
100.2784 	EXP 	cueImage: autoDraw = False
100.2784 	EXP 	text: autoDraw = False
100.2784 	EXP 	cueImage: image = 'stimsday2details/C22.png'
100.2784 	EXP 	cueImage: autoDraw = True
100.2784 	EXP 	text: autoDraw = True
101.2960 	DATA 	Keypress: equal
102.7971 	DATA 	Keypress: equal
104.2965 	DATA 	Keypress: equal
105.8006 	DATA 	Keypress: equal
107.2963 	DATA 	Keypress: equal
108.7963 	DATA 	Keypress: equal
110.2880 	DATA 	Keypress: equal
111.7885 	DATA 	Keypress: equal
113.2888 	DATA 	Keypress: equal
114.7964 	DATA 	Keypress: equal
116.2959 	DATA 	Keypress: equal
117.8011 	DATA 	Keypress: equal
119.3011 	DATA 	Keypress: equal
120.8003 	DATA 	Keypress: equal
122.2911 	DATA 	Keypress: equal
123.7911 	DATA 	Keypress: equal
125.2964 	DATA 	Keypress: equal
126.7962 	DATA 	Keypress: equal
128.2962 	DATA 	Keypress: equal
128.5962 	DATA 	Keypress: space
128.7456 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue', 'stimsday2details/C2.png')])
128.7783 	EXP 	cueImage: autoDraw = False
128.7783 	EXP 	text: autoDraw = False
128.7783 	EXP 	cueImage: image = 'stimsday2details/C2.png'
128.7783 	EXP 	cueImage: autoDraw = True
128.7783 	EXP 	text: autoDraw = True
129.7964 	DATA 	Keypress: equal
131.2970 	DATA 	Keypress: equal
132.7952 	DATA 	Keypress: equal
134.2951 	DATA 	Keypress: equal
135.7952 	DATA 	Keypress: equal
137.2968 	DATA 	Keypress: equal
138.7957 	DATA 	Keypress: equal
140.2952 	DATA 	Keypress: equal
141.7951 	DATA 	Keypress: equal
143.3002 	DATA 	Keypress: equal
144.7955 	DATA 	Keypress: equal
146.2952 	DATA 	Keypress: equal
147.7999 	DATA 	Keypress: equal
149.2999 	DATA 	Keypress: equal
150.7950 	DATA 	Keypress: equal
152.2998 	DATA 	Keypress: equal
153.7991 	DATA 	Keypress: equal
154.1007 	DATA 	Keypress: space
154.2480 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue', 'stimsday2details/C29.png')])
154.2770 	EXP 	cueImage: autoDraw = False
154.2770 	EXP 	text: autoDraw = False
154.2770 	EXP 	cueImage: image = 'stimsday2details/C29.png'
154.2770 	EXP 	cueImage: autoDraw = True
154.2770 	EXP 	text: autoDraw = True
155.2951 	DATA 	Keypress: equal
156.7999 	DATA 	Keypress: equal
158.2992 	DATA 	Keypress: equal
159.7994 	DATA 	Keypress: equal
161.2868 	DATA 	Keypress: equal
162.7962 	DATA 	Keypress: equal
164.2961 	DATA 	Keypress: equal
165.7949 	DATA 	Keypress: equal
167.2955 	DATA 	Keypress: equal
168.7945 	DATA 	Keypress: equal
170.2948 	DATA 	Keypress: equal
171.7960 	DATA 	Keypress: equal
173.2948 	DATA 	Keypress: equal
174.8044 	DATA 	Keypress: equal
176.2993 	DATA 	Keypress: equal
177.7995 	DATA 	Keypress: equal
179.2904 	DATA 	Keypress: equal
180.7947 	DATA 	Keypress: equal
182.2962 	DATA 	Keypress: equal
183.7959 	DATA 	Keypress: equal
185.2853 	DATA 	Keypress: equal
185.5705 	DATA 	Keypress: space
185.7208 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue', 'stimsday2details/C20.png')])
185.7479 	EXP 	cueImage: autoDraw = False
185.7479 	EXP 	text: autoDraw = False
185.7479 	EXP 	cueImage: image = 'stimsday2details/C20.png'
185.7479 	EXP 	cueImage: autoDraw = True
185.7479 	EXP 	text: autoDraw = True
186.7881 	DATA 	Keypress: equal
188.2874 	DATA 	Keypress: equal
189.7946 	DATA 	Keypress: equal
191.2959 	DATA 	Keypress: equal
192.7959 	DATA 	Keypress: equal
194.2949 	DATA 	Keypress: equal
195.7999 	DATA 	Keypress: equal
197.2994 	DATA 	Keypress: equal
198.7997 	DATA 	Keypress: equal
200.2991 	DATA 	Keypress: equal
201.7994 	DATA 	Keypress: equal
203.2957 	DATA 	Keypress: equal
204.7945 	DATA 	Keypress: equal
206.2944 	DATA 	Keypress: equal
207.7850 	DATA 	Keypress: equal
209.2853 	DATA 	Keypress: equal
210.7843 	DATA 	Keypress: equal
212.2842 	DATA 	Keypress: equal
213.7845 	DATA 	Keypress: equal
215.2850 	DATA 	Keypress: equal
216.7842 	DATA 	Keypress: equal
218.2845 	DATA 	Keypress: equal
219.7954 	DATA 	Keypress: equal
221.2843 	DATA 	Keypress: equal
222.7843 	DATA 	Keypress: equal
223.2326 	DATA 	Keypress: space
223.3672 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue', 'stimsday2details/C23.png')])
223.3938 	EXP 	cueImage: autoDraw = False
223.3938 	EXP 	text: autoDraw = False
223.3938 	EXP 	cueImage: image = 'stimsday2details/C23.png'
223.3938 	EXP 	cueImage: autoDraw = True
223.3938 	EXP 	text: autoDraw = True
224.2847 	DATA 	Keypress: equal
225.7945 	DATA 	Keypress: equal
227.2944 	DATA 	Keypress: equal
228.7843 	DATA 	Keypress: equal
230.2837 	DATA 	Keypress: equal
231.7982 	DATA 	Keypress: equal
233.2940 	DATA 	Keypress: equal
234.7838 	DATA 	Keypress: equal
236.2836 	DATA 	Keypress: equal
237.7951 	DATA 	Keypress: equal
239.2981 	DATA 	Keypress: equal
240.7986 	DATA 	Keypress: equal
242.2938 	DATA 	Keypress: equal
243.7942 	DATA 	Keypress: equal
245.2938 	DATA 	Keypress: equal
246.7943 	DATA 	Keypress: equal
248.2937 	DATA 	Keypress: equal
249.7946 	DATA 	Keypress: equal
251.2991 	DATA 	Keypress: equal
252.7948 	DATA 	Keypress: equal
254.2950 	DATA 	Keypress: equal
255.7833 	DATA 	Keypress: equal
257.2830 	DATA 	Keypress: equal
258.7936 	DATA 	Keypress: equal
259.1150 	DATA 	Keypress: space
259.2532 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue', 'stimsday2details/C1.png')])
259.2763 	EXP 	cueImage: autoDraw = False
259.2763 	EXP 	text: autoDraw = False
259.2763 	EXP 	cueImage: image = 'stimsday2details/C1.png'
259.2763 	EXP 	cueImage: autoDraw = True
259.2763 	EXP 	text: autoDraw = True
260.2936 	DATA 	Keypress: equal
261.7827 	DATA 	Keypress: equal
263.2822 	DATA 	Keypress: equal
264.7993 	DATA 	Keypress: equal
266.2828 	DATA 	Keypress: equal
267.7827 	DATA 	Keypress: equal
269.2825 	DATA 	Keypress: equal
270.7820 	DATA 	Keypress: equal
272.2981 	DATA 	Keypress: equal
273.7983 	DATA 	Keypress: equal
275.2985 	DATA 	Keypress: equal
276.7980 	DATA 	Keypress: equal
278.2991 	DATA 	Keypress: equal
279.7985 	DATA 	Keypress: equal
281.2820 	DATA 	Keypress: equal
282.7813 	DATA 	Keypress: equal
