n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,25.411460876464844,25.411460876464844,0.0,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,464.72247314453125,464.72247314453125,0.0,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,607.5706787109375,607.5706787109375,0.0,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1040.081787109375,1040.081787109375,0.0,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1183.913330078125,1183.913330078125,0.0,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1617.3577880859375,1617.3577880859375,0.0,,0.0

extraInfo
session,001
participant,22
date,2019_Oct_24_1732
expName,viewing
psychopyVersion,3.1.2
frameRate,59.999498044159964
