n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,28.49893569946289,28.49893569946289,0.0,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,467.33197021484375,467.33197021484375,0.0,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,610.9913330078125,610.9913330078125,0.0,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1044.2369384765625,1044.2369384765625,0.0,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1188.5379638671875,1188.5379638671875,0.0,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_raw,southCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
﻿n,southCueImage.started_mean,southCueImage.started_raw,southCueImage.started_std,southCueImage.stopped_raw,order
1.0,1622.6788330078125,1622.6788330078125,0.0,,0.0

extraInfo
session,001
participant,26
date,2019_Nov_12_1537
expName,viewing
psychopyVersion,3.1.2
frameRate,60.07964310456286
