2.2216 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
8.2917 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [1920, 1080]. Using actual size
8.9627 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x132193c7f0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x132358b080>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.9627 	EXP 	window1: recordFrameIntervals = False
9.1285 	EXP 	window1: recordFrameIntervals = True
9.3121 	EXP 	window1: recordFrameIntervals = False
9.4470 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for experimenter...', units='norm', win=Window(...), wrapWidth=1)
9.4559 	EXP 	Created waiting = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='waiting', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Waiting for scanner...', units='norm', win=Window(...), wrapWidth=1)
9.4628 	EXP 	Created cueImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cueImage', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), size=array([0.8, 0.8]), texRes=128, units='norm', win=Window(...))
9.4957 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.5]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
9.5451 	EXP 	text_2: autoDraw = True
10.4321 	DATA 	Keypress: g
10.4451 	EXP 	text_2: autoDraw = False
10.4451 	EXP 	waiting: autoDraw = True
32.6133 	DATA 	Keypress: equal
32.6244 	EXP 	Imported recall.csv as conditions, 12 conditions, 1 params
32.6254 	EXP 	Created sequence: random, trialTypes=12, nReps=1, seed=None
32.6257 	EXP 	New trial (rep=0, index=0): OrderedDict([('cue', 'stimsday2details/C22.png')])
32.6646 	EXP 	waiting: autoDraw = False
32.6646 	EXP 	cueImage: image = 'stimsday2details/C22.png'
32.6646 	EXP 	cueImage: autoDraw = True
32.6646 	EXP 	text: autoDraw = True
34.1133 	DATA 	Keypress: equal
35.6133 	DATA 	Keypress: equal
37.1133 	DATA 	Keypress: equal
38.6133 	DATA 	Keypress: equal
40.1133 	DATA 	Keypress: equal
41.6135 	DATA 	Keypress: equal
43.1132 	DATA 	Keypress: equal
44.6131 	DATA 	Keypress: equal
46.1132 	DATA 	Keypress: equal
47.6131 	DATA 	Keypress: equal
49.1131 	DATA 	Keypress: equal
50.6131 	DATA 	Keypress: equal
52.1130 	DATA 	Keypress: equal
53.6133 	DATA 	Keypress: equal
55.1130 	DATA 	Keypress: equal
56.6131 	DATA 	Keypress: equal
58.1128 	DATA 	Keypress: equal
59.6131 	DATA 	Keypress: equal
61.1129 	DATA 	Keypress: equal
62.6129 	DATA 	Keypress: equal
64.1129 	DATA 	Keypress: equal
65.6129 	DATA 	Keypress: equal
67.1128 	DATA 	Keypress: equal
68.6129 	DATA 	Keypress: equal
70.1128 	DATA 	Keypress: equal
71.6127 	DATA 	Keypress: equal
73.1131 	DATA 	Keypress: equal
74.6128 	DATA 	Keypress: equal
76.1129 	DATA 	Keypress: equal
77.6130 	DATA 	Keypress: equal
