northOrSouth,stimFile1a,stimFile1b,stimFile2,stimFile3,stimFile4,stimFile5,Qeggpainting1,Qeggpainting2,Qcharacter1,Qcharacter2,Qgift1,Qgift2,Qname1,Qname2,Qtheme1,Qtheme2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,South.thisRepN,South.thisTrialN,South.thisN,South.thisIndex,North.thisRepN,North.thisTrialN,North.thisN,North.thisIndex,noQtrials.thisRepN,noQtrials.thisTrialN,noQtrials.thisN,noQtrials.thisIndex,Qtrials.thisRepN,Qtrials.thisTrialN,Qtrials.thisN,Qtrials.thisIndex,text.started,text.stopped,prep_trigger.keys,prep_trigger.rt,prep_trigger.started,prep_trigger.stopped,waiting.started,waiting.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,southCueImage.started,southCueImage.stopped,northCueImage.started,northCueImage.stopped,trialNoQs.started,trialNoQs.stopped,vid1a.started,vid1a.stopped,vid1b.started,vid1b.stopped,vid2.started,vid2.stopped,vid3.started,vid3.stopped,vid4.started,vid4.stopped,vid5.started,vid5.stopped,ISI2.started,ISI2.stopped,vid1a_q.started,vid1a_q.stopped,vid1b_q.started,vid1b_q.stopped,vid2_q.started,vid2_q.stopped,l2q.started,l2q.stopped,vid3_q.started,vid3_q.stopped,l3q.started,l3q.stopped,vid4_q.started,vid4_q.stopped,vid5_q.started,vid5_q.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,ISI7.started,ISI7.stopped,nameQresp.keys,nameQresp.rt,nameQresp.started,nameQresp.stopped,nameQ1.started,nameQ1.stopped,nameQ2.started,nameQ2.stopped,eggPainting1.started,eggPainting1.stopped,eggPaintingQresp.keys,eggPaintingQresp.rt,eggPaintingQresp.started,eggPaintingQresp.stopped,eggPainting2.started,eggPainting2.stopped,character1.started,character1.stopped,character2.started,character2.stopped,Qcharacter.keys,Qcharacter.rt,Qcharacter.started,Qcharacter.stopped,themeQresp.keys,themeQresp.rt,themeQresp.started,themeQresp.stopped,themeQ1.started,themeQ1.stopped,themeQ2.started,themeQ2.stopped,gift1.started,gift1.stopped,gift2.started,gift2.stopped,giftQresp.keys,giftQresp.rt,giftQresp.started,giftQresp.stopped,northorsouth1.started,northorsouth1.stopped,northorsouth2.started,northorsouth2.stopped,northOrSouthQ.keys,northOrSouthQ.rt,northOrSouthQ.started,northOrSouthQ.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.518487171269953,None,g,2.0550311133265495,6.518487171269953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.585527697578073,None,equal,19.806584388017654,8.585527697578073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-34.1a.mp4,stims/wedding-34.1b.mp4,stims/wedding-34.2b.mp4,stims/wedding-34.3a.mp4,stims/wedding-34.4b.mp4,stims/wedding-34.5.mp4,stimsday2details/painting34.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple34.png,stimsday2details/new25.png,stimsday2details/gift34.png,stimsday2details/cn34.png,stimsday2details/n34.png,stimsday2details/ct34.png,stimsday2details/t34.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,28.43761634454131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-34.1a.mp4,stims/wedding-34.1b.mp4,stims/wedding-34.2b.mp4,stims/wedding-34.3a.mp4,stims/wedding-34.4b.mp4,stims/wedding-34.5.mp4,stimsday2details/painting34.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple34.png,stimsday2details/new25.png,stimsday2details/gift34.png,stimsday2details/cn34.png,stimsday2details/n34.png,stimsday2details/ct34.png,stimsday2details/t34.png,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-34.1a.mp4,stims/wedding-34.1b.mp4,stims/wedding-34.2b.mp4,stims/wedding-34.3a.mp4,stims/wedding-34.4b.mp4,stims/wedding-34.5.mp4,stimsday2details/painting34.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple34.png,stimsday2details/new25.png,stimsday2details/gift34.png,stimsday2details/cn34.png,stimsday2details/n34.png,stimsday2details/ct34.png,stimsday2details/t34.png,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-34.1a.mp4,stims/wedding-34.1b.mp4,stims/wedding-34.2b.mp4,stims/wedding-34.3a.mp4,stims/wedding-34.4b.mp4,stims/wedding-34.5.mp4,stimsday2details/painting34.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple34.png,stimsday2details/new25.png,stimsday2details/gift34.png,stimsday2details/cn34.png,stimsday2details/n34.png,stimsday2details/ct34.png,stimsday2details/t34.png,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7446249816566706,None,41.33509061764926,66.58493719156832,66.58493719156832,None,75.58412384800613,None,92.58410381898284,96.58530210517347,96.58530210517347,None,119.60074105113745,123.58447364717722,123.58447364717722,None,147.59988706186414,None,['2'],[2.752633194439113],91.58414829242975,96.58530210517347,['2'],[2.639719900675118],118.6011380776763,123.58447364717722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
south.png,stims/wedding-34.1a.mp4,stims/wedding-34.1b.mp4,stims/wedding-34.2b.mp4,stims/wedding-34.3a.mp4,stims/wedding-34.4b.mp4,stims/wedding-34.5.mp4,stimsday2details/painting34.png,stimsday2details/newpainting13.png,stimsday2details/newperson25.png,stimsday2details/couple34.png,stimsday2details/new25.png,stimsday2details/gift34.png,stimsday2details/cn34.png,stimsday2details/n34.png,stimsday2details/ct34.png,stimsday2details/t34.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76835635304451e-05,None,2,1.1856649611145258,167.93359243683517,None,167.93359243683517,None,167.93359243683517,None,169.91609519906342,None,1,0.7367980498820543,169.91609519906342,None,169.91609519906342,None,171.91672101058066,None,171.91672101058066,None,2,0.7532245591282845,171.91672101058066,None,2,1.0365658141672611,173.91631458699703,None,173.91631458699703,None,173.91631458699703,None,175.91718048416078,None,175.91718048416078,None,2,0.8354936921969056,175.91718048416078,None,177.916886867024,None,177.916886867024,None,2,1.0848225373774767,177.916886867024,None,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg13.png,stimsday2details/newperson26.png,stimsday2details/couple22.png,stimsday2details/gift22.png,stimsday2details/new26.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/t22.png,stimsday2details/ct22.png,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg13.png,stimsday2details/newperson26.png,stimsday2details/couple22.png,stimsday2details/gift22.png,stimsday2details/new26.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/t22.png,stimsday2details/ct22.png,0,1,1,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,179.967161311768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg13.png,stimsday2details/newperson26.png,stimsday2details/couple22.png,stimsday2details/gift22.png,stimsday2details/new26.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/t22.png,stimsday2details/ct22.png,0,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,3.1048223581165075,None,190.13295146264136,215.01926749013364,215.03247696813196,None,224.03259386029094,241.0166558418423,241.03298088163137,264.0154388928786,264.03250012826174,288.0159180602059,288.03238326869905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg13.png,stimsday2details/newperson26.png,stimsday2details/couple22.png,stimsday2details/gift22.png,stimsday2details/new26.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/t22.png,stimsday2details/ct22.png,0,1,1,1,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-22.1a.mp4,stims/wedding-22.1b.mp4,stims/wedding-22.2a.mp4,stims/wedding-22.3a.mp4,stims/wedding-22.4a.mp4,stims/wedding-22.5.mp4,stimsday2details/egg22.png,stimsday2details/newegg13.png,stimsday2details/newperson26.png,stimsday2details/couple22.png,stimsday2details/gift22.png,stimsday2details/new26.png,stimsday2details/cn22.png,stimsday2details/n22.png,stimsday2details/t22.png,stimsday2details/ct22.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.786291927099228e-05,None,2,0.7673628777265549,311.61580972839147,None,311.61580972839147,None,311.61580972839147,None,313.6157090784982,None,1,0.9016499882563949,313.6157090784982,None,313.6157090784982,None,315.61454806197435,None,315.61454806197435,None,2,0.9238728601485491,315.61454806197435,None,None,,317.61965954862535,None,317.61965954862535,None,317.61965954862535,None,319.61500128451735,None,319.61500128451735,None,1,1.2860101973637938,319.61500128451735,None,321.6149890543893,None,321.6149890543893,None,1,1.1667376905679703,321.6149890543893,None,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
north.png,stims/wedding-20.1a.mp4,stims/wedding-20.1b.mp4,stims/wedding-20.2b.mp4,stims/wedding-20.3b.mp4,stims/wedding-20.4b.mp4,stims/wedding-20.5.mp4,stimsday2details/newpainting14.png,stimsday2details/painting20.png,stimsday2details/newperson27.png,stimsday2details/couple20.png,stimsday2details/gift20.png,stimsday2details/new27.png,stimsday2details/cn20.png,stimsday2details/n20.png,stimsday2details/t20.png,stimsday2details/ct20.png,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,39,2020_Jan_17_1344,viewing,3.1.2,None,
