,sub_num,vid_str,wed_num,onset_TR,state,len_TRs,offset_TR
0,3,vid1a,1,111,1b,17,128
1,3,vid1a,2,207,1b,17,224
2,3,vid1a,3,303,1b,17,320
3,3,vid1a,4,399,1b,17,416
4,3,vid1a,5,495,1b,17,512
5,3,vid1a,6,591,1b,17,608
6,3,vid1a,7,687,1b,17,704
7,3,vid1a,8,784,1b,17,801
8,3,vid1a,9,880,1b,17,897
9,3,vid1a,10,976,1b,17,993
10,3,vid1b,1,128,1b,6,134
11,3,vid1b,2,224,1b,6,230
12,3,vid1b,3,320,1b,6,326
13,3,vid1b,4,416,1b,6,422
14,3,vid1b,5,512,1b,6,518
15,3,vid1b,6,608,1b,6,614
16,3,vid1b,7,704,1b,6,710
17,3,vid1b,8,800,1b,6,806
18,3,vid1b,9,896,1b,6,902
19,3,vid1b,10,993,1b,6,999
20,3,vid2,1,134,2a,11,145
21,3,vid2,2,230,2a,11,241
22,3,vid2,3,326,2b,11,337
23,3,vid2,4,422,2b,11,433
24,3,vid2,5,518,2b,11,529
25,3,vid2,6,614,2b,11,625
26,3,vid2,7,710,2a,11,721
27,3,vid2,8,806,2a,11,817
28,3,vid2,9,902,2b,11,913
29,3,vid2,10,999,2a,11,1010
30,3,vid3,1,145,3a,15,160
31,3,vid3,2,241,3a,15,256
32,3,vid3,3,337,3a,15,352
33,3,vid3,4,433,3a,15,448
34,3,vid3,5,529,3b,15,544
35,3,vid3,6,625,3b,15,640
36,3,vid3,7,721,3b,15,736
37,3,vid3,8,818,3b,15,833
38,3,vid3,9,914,3b,15,929
39,3,vid3,10,1010,3a,15,1025
40,3,vid4,1,160,4a,16,176
41,3,vid4,2,257,4a,16,273
42,3,vid4,3,353,4b,16,369
43,3,vid4,4,449,4b,16,465
44,3,vid4,5,545,4b,16,561
45,3,vid4,6,641,4b,16,657
46,3,vid4,7,737,4a,16,753
47,3,vid4,8,833,4a,16,849
48,3,vid4,9,929,4b,16,945
49,3,vid4,10,1025,4a,16,1041
50,3,vid5,1,176,5,7,183
51,3,vid5,2,273,5,7,280
52,3,vid5,3,369,5,7,376
53,3,vid5,4,465,5,7,472
54,3,vid5,5,561,5,7,568
55,3,vid5,6,657,5,7,664
56,3,vid5,7,753,5,7,760
57,3,vid5,8,849,5,7,856
58,3,vid5,9,945,5,7,952
59,3,vid5,10,1041,5,7,1048
60,3,vid1a_q,0,12,1b,17,29
61,3,vid1a_q,11,1075,1b,17,1092
62,3,vid1b_q,0,29,1b,6,35
63,3,vid1b_q,11,1092,1b,6,1098
64,3,vid2_q,0,35,2b,11,46
65,3,vid2_q,11,1098,2a,11,1109
66,3,vid3_q,0,49,3a,15,64
67,3,vid3_q,11,1112,3b,15,1127
68,3,vid4_q,0,67,4b,16,83
69,3,vid4_q,11,1130,4a,16,1146
70,3,vid5_q,0,83,5,7,90
71,3,vid5_q,11,1146,5,7,1153
0,4,vid1a,1,112,1b,17,129
1,4,vid1a,2,207,1b,17,224
2,4,vid1a,3,303,1b,17,320
3,4,vid1a,4,399,1b,17,416
4,4,vid1a,5,495,1b,17,512
5,4,vid1a,6,592,1b,17,609
6,4,vid1a,7,687,1b,17,704
7,4,vid1a,8,783,1b,17,800
8,4,vid1a,9,879,1b,17,896
9,4,vid1a,10,976,1b,17,993
10,4,vid1b,1,128,1b,6,134
11,4,vid1b,2,224,1b,6,230
12,4,vid1b,3,320,1b,6,326
13,4,vid1b,4,416,1b,6,422
14,4,vid1b,5,512,1b,6,518
15,4,vid1b,6,608,1b,6,614
16,4,vid1b,7,704,1b,6,710
17,4,vid1b,8,800,1b,6,806
18,4,vid1b,9,896,1b,6,902
19,4,vid1b,10,992,1b,6,998
20,4,vid2,1,134,2b,11,145
21,4,vid2,2,230,2a,11,241
22,4,vid2,3,326,2b,11,337
23,4,vid2,4,422,2b,11,433
24,4,vid2,5,518,2b,11,529
25,4,vid2,6,614,2b,11,625
26,4,vid2,7,710,2a,11,721
27,4,vid2,8,806,2b,11,817
28,4,vid2,9,902,2a,11,913
29,4,vid2,10,998,2a,11,1009
30,4,vid3,1,146,3b,15,161
31,4,vid3,2,241,3a,15,256
32,4,vid3,3,337,3a,15,352
33,4,vid3,4,433,3a,15,448
34,4,vid3,5,530,3b,15,545
35,4,vid3,6,626,3b,15,641
36,4,vid3,7,722,3b,15,737
37,4,vid3,8,817,3a,15,832
38,4,vid3,9,913,3a,15,928
39,4,vid3,10,1010,3a,15,1025
40,4,vid4,1,161,4b,16,177
41,4,vid4,2,257,4a,16,273
42,4,vid4,3,352,4b,16,368
43,4,vid4,4,449,4b,16,465
44,4,vid4,5,545,4b,16,561
45,4,vid4,6,641,4b,16,657
46,4,vid4,7,737,4a,16,753
47,4,vid4,8,832,4b,16,848
48,4,vid4,9,929,4a,16,945
49,4,vid4,10,1025,4a,16,1041
50,4,vid5,1,177,5,7,184
51,4,vid5,2,273,5,7,280
52,4,vid5,3,368,5,7,375
53,4,vid5,4,465,5,7,472
54,4,vid5,5,561,5,7,568
55,4,vid5,6,657,5,7,664
56,4,vid5,7,753,5,7,760
57,4,vid5,8,848,5,7,855
58,4,vid5,9,945,5,7,952
59,4,vid5,10,1041,5,7,1048
60,4,vid1a_q,0,12,1b,17,29
61,4,vid1a_q,11,1074,1b,17,1091
62,4,vid1b_q,0,29,1b,6,35
63,4,vid1b_q,11,1091,1b,6,1097
64,4,vid2_q,0,35,2a,11,46
65,4,vid2_q,11,1097,2a,11,1108
66,4,vid3_q,0,49,3b,15,64
67,4,vid3_q,11,1111,3b,15,1126
68,4,vid4_q,0,67,4a,16,83
69,4,vid4_q,11,1129,4a,16,1145
70,4,vid5_q,0,83,5,7,90
71,4,vid5_q,11,1145,5,7,1152
0,5,vid1a,1,112,1b,17,129
1,5,vid1a,2,207,1b,17,224
2,5,vid1a,3,303,1b,17,320
3,5,vid1a,4,399,1b,17,416
4,5,vid1a,5,496,1b,17,513
5,5,vid1a,6,592,1b,17,609
6,5,vid1a,7,688,1b,17,705
7,5,vid1a,8,784,1b,17,801
8,5,vid1a,9,880,1b,17,897
9,5,vid1a,10,976,1b,17,993
10,5,vid1b,1,128,1b,6,134
11,5,vid1b,2,224,1b,6,230
12,5,vid1b,3,320,1b,6,326
13,5,vid1b,4,416,1b,6,422
14,5,vid1b,5,512,1b,6,518
15,5,vid1b,6,608,1b,6,614
16,5,vid1b,7,704,1b,6,710
17,5,vid1b,8,800,1b,6,806
18,5,vid1b,9,897,1b,6,903
19,5,vid1b,10,993,1b,6,999
20,5,vid2,1,134,2b,11,145
21,5,vid2,2,230,2b,11,241
22,5,vid2,3,326,2b,11,337
23,5,vid2,4,422,2a,11,433
24,5,vid2,5,518,2b,11,529
25,5,vid2,6,614,2a,11,625
26,5,vid2,7,710,2b,11,721
27,5,vid2,8,806,2a,11,817
28,5,vid2,9,903,2a,11,914
29,5,vid2,10,999,2a,11,1010
30,5,vid3,1,146,3b,15,161
31,5,vid3,2,242,3b,15,257
32,5,vid3,3,338,3a,15,353
33,5,vid3,4,433,3b,15,448
34,5,vid3,5,530,3b,15,545
35,5,vid3,6,626,3a,15,641
36,5,vid3,7,722,3a,15,737
37,5,vid3,8,818,3b,15,833
38,5,vid3,9,914,3a,15,929
39,5,vid3,10,1011,3a,15,1026
40,5,vid4,1,161,4b,16,177
41,5,vid4,2,257,4b,16,273
42,5,vid4,3,353,4b,16,369
43,5,vid4,4,449,4a,16,465
44,5,vid4,5,545,4b,16,561
45,5,vid4,6,641,4a,16,657
46,5,vid4,7,737,4b,16,753
47,5,vid4,8,833,4a,16,849
48,5,vid4,9,929,4a,16,945
49,5,vid4,10,1026,4a,16,1042
50,5,vid5,1,177,5,7,184
51,5,vid5,2,273,5,7,280
52,5,vid5,3,369,5,7,376
53,5,vid5,4,465,5,7,472
54,5,vid5,5,561,5,7,568
55,5,vid5,6,657,5,7,664
56,5,vid5,7,753,5,7,760
57,5,vid5,8,849,5,7,856
58,5,vid5,9,945,5,7,952
59,5,vid5,10,1042,5,7,1049
60,5,vid1a_q,0,12,1b,17,29
61,5,vid1a_q,11,1074,1b,17,1091
62,5,vid1b_q,0,29,1b,6,35
63,5,vid1b_q,11,1091,1b,6,1097
64,5,vid2_q,0,35,2b,11,46
65,5,vid2_q,11,1097,2a,11,1108
66,5,vid3_q,0,49,3a,15,64
67,5,vid3_q,11,1111,3b,15,1126
68,5,vid4_q,0,67,4b,16,83
69,5,vid4_q,11,1129,4a,16,1145
70,5,vid5_q,0,83,5,7,90
71,5,vid5_q,11,1145,5,7,1152
0,6,vid1a,1,111,1b,17,128
1,6,vid1a,2,207,1b,17,224
2,6,vid1a,3,302,1b,17,319
3,6,vid1a,4,398,1b,17,415
4,6,vid1a,5,494,1b,17,511
5,6,vid1a,6,591,1b,17,608
6,6,vid1a,7,687,1b,17,704
7,6,vid1a,8,783,1b,17,800
8,6,vid1a,9,879,1b,17,896
9,6,vid1a,10,976,1b,17,993
10,6,vid1b,1,128,1b,6,134
11,6,vid1b,2,224,1b,6,230
12,6,vid1b,3,319,1b,6,325
13,6,vid1b,4,415,1b,6,421
14,6,vid1b,5,511,1b,6,517
15,6,vid1b,6,608,1b,6,614
16,6,vid1b,7,704,1b,6,710
17,6,vid1b,8,800,1b,6,806
18,6,vid1b,9,896,1b,6,902
19,6,vid1b,10,993,1b,6,999
20,6,vid2,1,134,2b,11,145
21,6,vid2,2,230,2b,11,241
22,6,vid2,3,325,2b,11,336
23,6,vid2,4,421,2a,11,432
24,6,vid2,5,517,2a,11,528
25,6,vid2,6,614,2b,11,625
26,6,vid2,7,710,2a,11,721
27,6,vid2,8,806,2b,11,817
28,6,vid2,9,902,2a,11,913
29,6,vid2,10,999,2a,11,1010
30,6,vid3,1,145,3b,15,160
31,6,vid3,2,241,3b,15,256
32,6,vid3,3,336,3a,15,351
33,6,vid3,4,432,3b,15,447
34,6,vid3,5,528,3a,15,543
35,6,vid3,6,625,3b,15,640
36,6,vid3,7,721,3b,15,736
37,6,vid3,8,817,3a,15,832
38,6,vid3,9,913,3a,15,928
39,6,vid3,10,1010,3a,15,1025
40,6,vid4,1,161,4b,16,177
41,6,vid4,2,257,4b,16,273
42,6,vid4,3,352,4b,16,368
43,6,vid4,4,448,4a,16,464
44,6,vid4,5,544,4a,16,560
45,6,vid4,6,640,4b,16,656
46,6,vid4,7,736,4a,16,752
47,6,vid4,8,832,4b,16,848
48,6,vid4,9,929,4a,16,945
49,6,vid4,10,1025,4a,16,1041
50,6,vid5,1,177,5,7,184
51,6,vid5,2,273,5,7,280
52,6,vid5,3,368,5,7,375
53,6,vid5,4,464,5,7,471
54,6,vid5,5,560,5,7,567
55,6,vid5,6,656,5,7,663
56,6,vid5,7,752,5,7,759
57,6,vid5,8,848,5,7,855
58,6,vid5,9,945,5,7,952
59,6,vid5,10,1041,5,7,1048
60,6,vid1a_q,0,12,1b,17,29
61,6,vid1a_q,11,1075,1b,17,1092
62,6,vid1b_q,0,29,1b,6,35
63,6,vid1b_q,11,1092,1b,6,1098
64,6,vid2_q,0,35,2b,11,46
65,6,vid2_q,11,1098,2a,11,1109
66,6,vid3_q,0,49,3a,15,64
67,6,vid3_q,11,1112,3b,15,1127
68,6,vid4_q,0,67,4b,16,83
69,6,vid4_q,11,1130,4a,16,1146
70,6,vid5_q,0,83,5,7,90
71,6,vid5_q,11,1146,5,7,1153
0,7,vid1a,1,112,1b,17,129
