,sub_num,wed_id,onset_TR,offset_TR,wed_class
0,2,34,0,27,
1,2,29,27,46,
2,2,17,46,63,
3,2,38,63,81,
4,2,6,81,124,
5,2,1,124,148,
6,2,19,148,180,
7,2,20,180,212,
8,2,2,212,248,
9,2,23,248,289,
10,2,22,289,328,
11,2,28,328,-1,
12,3,22,0,57,N
13,3,19,57,118,N
14,3,1,118,155,N
15,3,6,155,201,N
16,3,23,201,245,N
17,3,28,245,317,S
18,3,34,317,381,N
19,3,17,381,424,S
20,3,2,424,476,S
21,3,29,476,534,S
22,3,38,534,604,S
23,3,20,604,-1,S
24,4,19,0,45,S
25,4,34,45,110,N
26,4,38,110,181,N
27,4,22,181,241,N
28,4,28,241,263,S
29,4,29,263,303,N
30,4,6,303,356,N
31,4,17,356,405,S
32,4,20,405,438,S
33,4,2,438,489,S
34,4,1,489,519,N
35,4,23,519,-1,S
36,5,20,0,44,N
37,5,38,44,67,S
38,5,2,67,103,N
39,5,23,103,135,S
40,5,34,135,170,N
41,5,1,170,219,S
42,5,17,219,251,S
43,5,22,251,296,N
44,5,29,296,333,S
45,5,6,333,371,N
46,5,28,371,416,N
47,5,19,416,-1,S
48,6,34,0,30,S
49,6,23,30,47,N
50,6,17,47,72,S
51,6,22,72,108,S
52,6,1,108,142,S
53,6,19,142,175,N
54,6,38,175,201,N
55,6,28,201,236,N
56,6,29,236,263,S
57,6,2,263,277,N
58,6,6,277,307,S
59,6,20,307,-1,N
60,7,1,0,26,N
61,7,34,26,71,N
62,7,38,71,88,S
63,7,23,88,124,S
64,7,29,124,164,S
65,7,28,164,185,N
66,7,6,185,207,S
67,7,2,207,242,N
68,7,19,242,263,S
69,7,17,263,298,N
70,7,20,298,334,S
71,7,22,334,-1,N
72,8,1,0,32,S
73,8,20,32,55,N
74,8,6,55,86,N
75,8,2,86,110,N
76,8,28,110,144,N
77,8,23,144,170,N
78,8,17,170,199,S
79,8,34,199,220,S
80,8,19,220,252,S
81,8,22,252,276,S
82,8,29,276,295,S
83,8,38,295,-1,N
84,9,6,0,16,S
85,9,17,16,27,N
86,9,19,27,44,N
87,9,34,44,56,S
88,9,1,56,78,N
89,9,23,78,89,S
90,9,29,89,110,N
91,9,28,110,126,N
92,9,38,126,140,S
93,9,2,140,158,N
94,9,20,158,175,S
